('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(2309725, 12295, 'Compound', 68, None, None, None, None, None, None, None, None, None, '', None, 'PHYTOHUB', 'DATABASE', None, None, datetime.datetime(2020, 4, 2, 17, 37, 59), datetime.datetime(2020, 4, 2, 17, 37, 59), None, None, None, None, 1)
(240889, 13393, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '255', 'Water', Decimal('11360.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('11360.000000000'), 'dried or powder', 0)
(696921, 13393, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'WATER', 'WATER', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 18), None, None, None, 'other', 1)
(696922, 13393, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'WATER', 'WATER', Decimal('13300.000000000'), Decimal('13300.000000000'), Decimal('13300.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 19), None, None, Decimal('13300.000000000'), 'other', 1)
(240903, 13403, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '317', 'Selenium, Se', Decimal('0.004500000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0.004500000'), 'dried or powder', 0)
(696923, 13403, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'SELENIUM', 'SELENIUM', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 19), None, None, None, 'other', 1)
(696925, 13570, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Leaf', 'LIMONENE', 'LIMONENE', Decimal('12.500000000'), Decimal('12.500000000'), Decimal('12.500000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 19), None, None, Decimal('12.500000000'), 'other', 1)
(696926, 13570, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'LIMONENE', 'LIMONENE', Decimal('8.000000000'), Decimal('8.000000000'), Decimal('8.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 20), None, None, Decimal('8.000000000'), 'other', 1)
(696927, 13570, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome Essent. Oil', 'LIMONENE', 'LIMONENE', Decimal('230.000000000'), Decimal('230.000000000'), Decimal('230.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 20), None, None, Decimal('230.000000000'), 'other', 1)
(696928, 13570, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Tuber', 'LIMONENE', 'LIMONENE', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 20), None, None, None, 'other', 1)
(240922, 14507, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '417', 'Folate, total', Decimal('0.039000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 12), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0.039000000'), 'dried or powder', 0)
(240927, 14507, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '431', 'Folic acid', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 12), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0E-9'), 'dried or powder', 0)
(240928, 14507, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '432', 'Folate, food', Decimal('0.039000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 12), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0.039000000'), 'dried or powder', 0)
(240929, 14507, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '435', 'Folate, DFE', Decimal('0.039000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 12), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('39.000000000'), 'dried or powder', 0)
(240895, 16258, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '303', 'Iron, Fe', Decimal('41.420000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('41.420000000'), 'dried or powder', 0)
(696992, 16258, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'IRON', 'IRON', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 37), None, None, None, 'other', 1)
(696993, 16258, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'IRON', 'IRON', Decimal('29.400000000'), Decimal('12.100000000'), Decimal('46.700000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 21), datetime.datetime(2018, 6, 24, 21, 45, 37), None, None, Decimal('29.400000000'), 'other', 1)
(1094048, 30890, 'Compound', 68, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 56, 27), datetime.datetime(2015, 5, 7, 19, 56, 27), None, None, None, None, 1)
