('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(2215278, 453, 'Compound', 940, '198', 'Tea', 'Camellia sinensis (L.) KUNTZE [Theaceae]', 'Leaf', 'THEOPHYLLINE', 'THEOPHYLLINE', Decimal('0.300000000'), Decimal('0.200000000'), Decimal('0.400000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 26), datetime.datetime(2020, 3, 12, 20, 55, 26), None, None, Decimal('0.300000000'), 'tea or coffee', 1)
(2215280, 453, 'Compound', 940, '198', 'Tea', 'Camellia sinensis (L.) KUNTZE [Theaceae]', 'Seed', 'THEOPHYLLINE', 'THEOPHYLLINE', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 26), datetime.datetime(2020, 3, 12, 20, 55, 26), None, None, None, 'tea or coffee', 1)
(2216498, 453, 'Compound', 940, 'WI4600', 'Tea', None, None, None, None, None, None, None, None, None, 'DFC CODES', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 28), datetime.datetime(2020, 3, 12, 20, 55, 28), None, None, None, 'tea or coffee', 1)
(2219860, 453, 'Compound', 940, '198', 'Tea', 'Camellia sinensis (L.) KUNTZE [Theaceae]', 'Leaf', 'THEOPHYLLINE', 'THEOPHYLLINE', Decimal('0.300000000'), Decimal('0.200000000'), Decimal('0.400000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 34), datetime.datetime(2020, 3, 12, 20, 55, 34), None, None, Decimal('0.300000000'), 'tea or coffee', 1)
(2219864, 453, 'Compound', 940, '198', 'Tea', 'Camellia sinensis (L.) KUNTZE [Theaceae]', 'Seed', 'THEOPHYLLINE', 'THEOPHYLLINE', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 34), datetime.datetime(2020, 3, 12, 20, 55, 34), None, None, None, 'tea or coffee', 1)
(2222268, 453, 'Compound', 940, None, None, 'Camellia sinensis', None, 'C00001510', 'Theophylline', None, None, None, None, None, 'KNAPSACK', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 39), datetime.datetime(2020, 3, 12, 20, 55, 39), None, None, None, 'other', 1)
(2222820, 453, 'Compound', 940, 'WI4600', 'Tea', None, None, None, None, None, None, None, None, None, 'DFC CODES', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 40), datetime.datetime(2020, 3, 12, 20, 55, 40), None, None, None, 'tea or coffee', 1)
(2236044, 453, 'Compound', 940, None, None, None, None, None, None, None, None, None, '', None, 'PHYTOHUB', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 56, 4), datetime.datetime(2020, 3, 12, 20, 56, 4), None, None, None, None, 1)
(2212853, 455, 'Compound', 940, '14137', 'Tea, ready-to-drink, NESTLE, COOL NESTEA ice tea lemon flavor', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 21), datetime.datetime(2020, 3, 12, 20, 55, 21), None, None, Decimal('0E-9'), None, 1)
(2212885, 455, 'Compound', 940, '14352', 'Tea, black, brewed, prepared with tap water, decaffeinated', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 21), datetime.datetime(2020, 3, 12, 20, 55, 21), None, None, Decimal('0E-9'), 'cooked', 1)
(2213035, 455, 'Compound', 940, '14353', 'Tea, instant, unsweetened, powder, decaffeinated', None, None, '263', 'Theobromine', Decimal('11.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 21), datetime.datetime(2020, 3, 12, 20, 55, 21), None, None, Decimal('11.000000000'), None, 1)
(2213145, 455, 'Compound', 940, '14355', 'Tea, black, brewed, prepared with tap water', None, None, '263', 'Theobromine', Decimal('2.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 22), datetime.datetime(2020, 3, 12, 20, 55, 22), None, None, Decimal('2.000000000'), 'cooked', 1)
(2213297, 455, 'Compound', 940, '14356', 'Tea, instant, sweetened with sodium saccharin, lemon-flavored, powder, decaffeinated', None, None, '263', 'Theobromine', Decimal('4.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 22), datetime.datetime(2020, 3, 12, 20, 55, 22), None, None, Decimal('4.000000000'), None, 1)
(2213407, 455, 'Compound', 940, '14357', 'Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder,  decaffeinated', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2020, 3, 12, 20, 55, 22), datetime.datetime(2020, 3, 12, 20, 55, 22), None, None, Decimal('0E-9'), None, 1)
