('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(435720, 455, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 4), datetime.datetime(2019, 12, 11, 20, 57), None, None, Decimal('0E-9'), 'raw', 0)
(435753, 574, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '415', 'Vitamin B-6', Decimal('0.056000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 5), datetime.datetime(2019, 12, 11, 20, 57, 1), None, None, Decimal('0.056000000'), 'raw', 0)
(435756, 710, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '421', 'Choline, total', Decimal('51.100000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 5), datetime.datetime(2019, 12, 11, 20, 57, 1), None, None, Decimal('51.100000000'), 'raw', 0)
(435751, 1014, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '406', 'Niacin', Decimal('6.585000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 5), datetime.datetime(2019, 12, 11, 20, 57, 1), None, None, Decimal('6.585000000'), 'raw', 0)
(1450914, 1977, 'Compound', 569, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 21, 26, 53), datetime.datetime(2015, 5, 7, 21, 26, 53), None, None, None, None, 1)
(435719, 2100, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '262', 'Caffeine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 4), datetime.datetime(2019, 12, 11, 20, 57), None, None, Decimal('0E-9'), 'raw', 0)
(435789, 3011, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '611', '12:0', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 5), datetime.datetime(2019, 12, 11, 20, 57, 1), None, None, Decimal('0E-9'), 'raw', 0)
(435723, 3514, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '301', 'Calcium, Ca', Decimal('1.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 4), datetime.datetime(2019, 12, 11, 20, 57), None, None, Decimal('1.000000000'), 'raw', 0)
(435725, 3519, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '304', 'Magnesium, Mg', Decimal('10.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 4), datetime.datetime(2019, 12, 11, 20, 57), None, None, Decimal('10.000000000'), 'raw', 0)
(435726, 3521, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '305', 'Phosphorus, P', Decimal('74.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 4), datetime.datetime(2019, 12, 11, 20, 57), None, None, Decimal('74.000000000'), 'raw', 0)
(435727, 3522, 'Compound', 569, '11993', 'Mushrooms, maitake, raw', None, None, '306', 'Potassium, K', Decimal('204.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 4), datetime.datetime(2019, 12, 11, 20, 57), None, None, Decimal('204.000000000'), 'raw', 0)
