('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(240825, 455, 'Compound', 183, '02042', 'Spices, thyme, dried', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 10), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0E-9'), 'dried or powder', 0)
(240851, 574, 'Compound', 183, '02042', 'Spices, thyme, dried', None, None, '415', 'Vitamin B-6', Decimal('0.550000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 10), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0.550000000'), 'dried or powder', 0)
(241356, 574, 'Compound', 183, '02049', 'Thyme, fresh', None, None, '415', 'Vitamin B-6', Decimal('0.348000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 18), datetime.datetime(2019, 12, 11, 20, 37, 20), None, None, Decimal('0.348000000'), 'raw', 0)
(240854, 710, 'Compound', 183, '02042', 'Spices, thyme, dried', None, None, '421', 'Choline, total', Decimal('43.600000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('43.600000000'), 'dried or powder', 0)
(240850, 1014, 'Compound', 183, '02042', 'Spices, thyme, dried', None, None, '406', 'Niacin', Decimal('4.940000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 10), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('4.940000000'), 'dried or powder', 0)
(241354, 1014, 'Compound', 183, '02049', 'Thyme, fresh', None, None, '406', 'Niacin', Decimal('1.824000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 18), datetime.datetime(2019, 12, 11, 20, 37, 20), None, None, Decimal('1.824000000'), 'raw', 0)
(711869, 1014, 'Compound', 183, '1016', 'Common Thyme', 'Thymus vulgaris L. [Lamiaceae]', 'Leaf', 'NIACIN', 'NIACIN', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 20), datetime.datetime(2018, 6, 24, 7, 12, 28), None, None, None, 'other', 1)
(711870, 1014, 'Compound', 183, '1016', 'Common Thyme', 'Thymus vulgaris L. [Lamiaceae]', 'Plant', 'NIACIN', 'NIACIN', Decimal('5.400000000'), Decimal('5.400000000'), Decimal('5.400000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 20), datetime.datetime(2018, 6, 24, 7, 12, 28), None, None, Decimal('5.400000000'), 'other', 1)
(1450680, 1977, 'Compound', 183, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 21, 26, 50), datetime.datetime(2015, 5, 7, 21, 26, 50), None, None, None, None, 1)
(240824, 2100, 'Compound', 183, '02042', 'Spices, thyme, dried', None, None, '262', 'Caffeine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 10), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0E-9'), 'dried or powder', 0)
(240873, 3011, 'Compound', 183, '02042', 'Spices, thyme, dried', None, None, '611', '12:0', Decimal('230.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('230.000000000'), 'dried or powder', 0)
(241372, 3011, 'Compound', 183, '02049', 'Thyme, fresh', None, None, '611', '12:0', Decimal('39.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 18), datetime.datetime(2019, 12, 11, 20, 37, 20), None, None, Decimal('39.000000000'), 'raw', 0)
(711892, 3011, 'Compound', 183, '1016', 'Common Thyme', 'Thymus vulgaris L. [Lamiaceae]', 'Plant', 'LAURIC-ACID', 'LAURIC-ACID', Decimal('239.200000000'), Decimal('230.000000000'), Decimal('248.400000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 20), datetime.datetime(2018, 6, 24, 7, 12, 33), None, None, Decimal('239.200000000'), 'other', 1)
(240827, 3514, 'Compound', 183, '02042', 'Spices, thyme, dried', None, None, '301', 'Calcium, Ca', Decimal('1890.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 10), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('1890.000000000'), 'dried or powder', 0)
(241336, 3514, 'Compound', 183, '02049', 'Thyme, fresh', None, None, '301', 'Calcium, Ca', Decimal('405.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 17), datetime.datetime(2019, 12, 11, 20, 37, 20), None, None, Decimal('405.000000000'), 'raw', 0)
(711896, 3514, 'Compound', 183, '1016', 'Common Thyme', 'Thymus vulgaris L. [Lamiaceae]', 'Leaf', 'CALCIUM', 'CALCIUM', Decimal('1670.000000000'), Decimal('1670.000000000'), Decimal('1670.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 20), datetime.datetime(2018, 6, 24, 7, 12, 35), None, None, Decimal('1670.000000000'), 'other', 1)
(711897, 3514, 'Compound', 183, '1016', 'Common Thyme', 'Thymus vulgaris L. [Lamiaceae]', 'Plant', 'CALCIUM', 'CALCIUM', Decimal('1973.450000000'), Decimal('1693.500000000'), Decimal('2253.400000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 20), datetime.datetime(2018, 6, 24, 7, 12, 35), None, None, Decimal('1973.450000000'), 'other', 1)
