('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(440118, 455, 'Compound', 372, '12129', 'Nuts, ginkgo nuts, canned', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('0E-9'), None, 0)
(440031, 574, 'Compound', 372, '12127', 'Nuts, ginkgo nuts, raw', None, None, '415', 'Vitamin B-6', Decimal('0.328000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 54), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('0.328000000'), 'raw', 0)
(440083, 574, 'Compound', 372, '12128', 'Nuts, ginkgo nuts, dried', None, None, '415', 'Vitamin B-6', Decimal('0.641000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('0.641000000'), 'dried or powder', 0)
(440139, 574, 'Compound', 372, '12129', 'Nuts, ginkgo nuts, canned', None, None, '415', 'Vitamin B-6', Decimal('0.198000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 56), datetime.datetime(2019, 12, 11, 20, 59, 31), None, None, Decimal('0.198000000'), None, 0)
(716414, 710, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Leaf', 'CHOLINE', 'CHOLINE', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 18), datetime.datetime(2018, 6, 22, 6, 32, 50), None, None, None, 'raw', 1)
(440029, 1014, 'Compound', 372, '12127', 'Nuts, ginkgo nuts, raw', None, None, '406', 'Niacin', Decimal('6.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 54), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('6.000000000'), 'raw', 0)
(440081, 1014, 'Compound', 372, '12128', 'Nuts, ginkgo nuts, dried', None, None, '406', 'Niacin', Decimal('11.732000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('11.732000000'), 'dried or powder', 0)
(440137, 1014, 'Compound', 372, '12129', 'Nuts, ginkgo nuts, canned', None, None, '406', 'Niacin', Decimal('3.623000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 56), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('3.623000000'), None, 0)
(716421, 1014, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Leaf', 'NIACIN', 'NIACIN', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 18), datetime.datetime(2018, 6, 22, 6, 32, 51), None, None, None, 'raw', 1)
(716422, 1014, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Seed', 'NIACIN', 'NIACIN', Decimal('8.100000000'), Decimal('2.800000000'), Decimal('13.400000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 18), datetime.datetime(2018, 6, 22, 6, 32, 52), None, None, Decimal('8.100000000'), 'raw', 1)
(1450821, 1977, 'Compound', 372, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 21, 26, 52), datetime.datetime(2015, 5, 7, 21, 26, 52), None, None, None, None, 1)
(440117, 2100, 'Compound', 372, '12129', 'Nuts, ginkgo nuts, canned', None, None, '262', 'Caffeine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('0E-9'), None, 0)
(440169, 3011, 'Compound', 372, '12129', 'Nuts, ginkgo nuts, canned', None, None, '611', '12:0', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 56), datetime.datetime(2019, 12, 11, 20, 59, 31), None, None, Decimal('0E-9'), None, 0)
(716462, 3011, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Pollen Or Spore', 'LAURIC-ACID', 'LAURIC-ACID', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 18), datetime.datetime(2018, 6, 22, 6, 33, 2), None, None, None, 'raw', 1)
(440012, 3514, 'Compound', 372, '12127', 'Nuts, ginkgo nuts, raw', None, None, '301', 'Calcium, Ca', Decimal('2.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 54), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('2.000000000'), 'raw', 0)
(440064, 3514, 'Compound', 372, '12128', 'Nuts, ginkgo nuts, dried', None, None, '301', 'Calcium, Ca', Decimal('20.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('20.000000000'), 'dried or powder', 0)
(440119, 3514, 'Compound', 372, '12129', 'Nuts, ginkgo nuts, canned', None, None, '301', 'Calcium, Ca', Decimal('4.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('4.000000000'), None, 0)
(716468, 3514, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Leaf', 'CALCIUM', 'CALCIUM', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 19), datetime.datetime(2018, 6, 22, 6, 33, 4), None, None, None, 'raw', 1)
(716469, 3514, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Seed', 'CALCIUM', 'CALCIUM', Decimal('6.450000000'), Decimal('2.000000000'), Decimal('10.900000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 19), datetime.datetime(2018, 6, 22, 6, 33, 4), None, None, Decimal('6.450000000'), 'raw', 1)
(440014, 3519, 'Compound', 372, '12127', 'Nuts, ginkgo nuts, raw', None, None, '304', 'Magnesium, Mg', Decimal('27.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 54), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('27.000000000'), 'raw', 0)
(440066, 3519, 'Compound', 372, '12128', 'Nuts, ginkgo nuts, dried', None, None, '304', 'Magnesium, Mg', Decimal('53.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('53.000000000'), 'dried or powder', 0)
(440121, 3519, 'Compound', 372, '12129', 'Nuts, ginkgo nuts, canned', None, None, '304', 'Magnesium, Mg', Decimal('16.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('16.000000000'), None, 0)
(716471, 3519, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Leaf', 'MAGNESIUM', 'MAGNESIUM', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 19), datetime.datetime(2018, 6, 22, 6, 33, 4), None, None, None, 'raw', 1)
(716472, 3519, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Seed', 'MAGNESIUM', 'MAGNESIUM', Decimal('43.600000000'), Decimal('27.000000000'), Decimal('60.200000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 19), datetime.datetime(2018, 6, 22, 6, 33, 5), None, None, Decimal('43.600000000'), 'raw', 1)
(440015, 3521, 'Compound', 372, '12127', 'Nuts, ginkgo nuts, raw', None, None, '305', 'Phosphorus, P', Decimal('124.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 54), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('124.000000000'), 'raw', 0)
(440067, 3521, 'Compound', 372, '12128', 'Nuts, ginkgo nuts, dried', None, None, '305', 'Phosphorus, P', Decimal('269.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('269.000000000'), 'dried or powder', 0)
(440122, 3521, 'Compound', 372, '12129', 'Nuts, ginkgo nuts, canned', None, None, '305', 'Phosphorus, P', Decimal('54.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 55), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('54.000000000'), None, 0)
(716473, 3521, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Leaf', 'PHOSPHORUS', 'PHOSPHORUS', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 19), datetime.datetime(2018, 6, 22, 6, 33, 5), None, None, None, 'raw', 1)
(716474, 3521, 'Compound', 372, '442', 'Ginkgo', 'Ginkgo biloba L. [Ginkgoaceae]', 'Seed', 'PHOSPHORUS', 'PHOSPHORUS', Decimal('225.400000000'), Decimal('124.000000000'), Decimal('326.800000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 1, 19), datetime.datetime(2018, 6, 22, 6, 33, 5), None, None, Decimal('225.400000000'), 'raw', 1)
(440016, 3522, 'Compound', 372, '12127', 'Nuts, ginkgo nuts, raw', None, None, '306', 'Potassium, K', Decimal('510.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 5, 54), datetime.datetime(2019, 12, 11, 20, 59, 30), None, None, Decimal('510.000000000'), 'raw', 0)
