('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(207653, 3716, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0138', 'Sugars, total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207731, 3716, 'Compound', 666, '0388', 'Salt, table', None, None, '0138', 'Sugars, total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0E-9'), 'other', 0)
(241184, 3716, 'Compound', 666, '02047', 'Salt, table', None, None, '269', 'Sugars, total', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(207546, 3730, 'Compound', 666, '0387', 'Salt, block', None, None, '0065', 'Zinc (Zn)', Decimal('0.076000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0.076000000'), 'other', 0)
(207642, 3730, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0065', 'Zinc (Zn)', Decimal('0.077000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0.077000000'), 'other', 0)
(207720, 3730, 'Compound', 666, '0388', 'Salt, table', None, None, '0065', 'Zinc (Zn)', Decimal('0.076000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0.076000000'), 'other', 0)
(241191, 3730, 'Compound', 666, '02047', 'Salt, table', None, None, '309', 'Zinc, Zn', Decimal('0.100000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0.100000000'), 'other', 0)
(1765783, 3730, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0.076000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0.076000000'), 'other', 1)
(1765889, 3730, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0.077000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0.077000000'), 'other', 1)
(1765998, 3730, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0.076000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0.076000000'), 'other', 1)
(241207, 8425, 'Compound', 666, '02047', 'Salt, table', None, None, '404', 'Thiamin', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 16), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(1765763, 8425, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765869, 8425, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1765978, 8425, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
(207527, 12163, 'Compound', 666, '0387', 'Salt, block', None, None, '0037', 'Vitamin B2 (riboflavin)', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 19), None, None, Decimal('0E-9'), 'other', 0)
(207623, 12163, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0037', 'Vitamin B2 (riboflavin)', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207701, 12163, 'Compound', 666, '0388', 'Salt, table', None, None, '0037', 'Vitamin B2 (riboflavin)', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0E-9'), 'other', 0)
(241208, 12163, 'Compound', 666, '02047', 'Salt, table', None, None, '405', 'Riboflavin', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 16), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(1765764, 12163, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765870, 12163, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1765979, 12163, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
(207516, 13393, 'Compound', 666, '0387', 'Salt, block', None, None, '0013', 'Moisture', Decimal('200.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 30), datetime.datetime(2019, 12, 11, 20, 34, 19), None, None, Decimal('200.000000000'), 'other', 0)
(207612, 13393, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0013', 'Moisture', Decimal('4000.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('4000.000000000'), 'other', 0)
(207690, 13393, 'Compound', 666, '0388', 'Salt, table', None, None, '0013', 'Moisture', Decimal('500.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('500.000000000'), 'other', 0)
(241181, 13393, 'Compound', 666, '02047', 'Salt, table', None, None, '255', 'Water', Decimal('200.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('200.000000000'), 'other', 0)
(1765753, 13393, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('500.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('500.000000000'), 'other', 1)
(1765859, 13393, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('4000.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('4000.000000000'), 'other', 1)
(1765968, 13393, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('200.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('200.000000000'), 'other', 1)
(207550, 13403, 'Compound', 666, '0387', 'Salt, block', None, None, '0069', 'Selenium (Se)', Decimal('0.000500000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0.000500000'), 'other', 0)
(207646, 13403, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0069', 'Selenium (Se)', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207724, 13403, 'Compound', 666, '0388', 'Salt, table', None, None, '0069', 'Selenium (Se)', Decimal('0.000500000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0.000500000'), 'other', 0)
(241195, 13403, 'Compound', 666, '02047', 'Salt, table', None, None, '317', 'Selenium, Se', Decimal('0.000100000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0.000100000'), 'other', 0)
(1765787, 13403, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0.000500000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0.000500000'), 'other', 1)
(1765894, 13403, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1766002, 13403, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0.000500000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0.000500000'), 'other', 1)
(207534, 14507, 'Compound', 666, '0387', 'Salt, block', None, None, '0047', 'Folates', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 19), None, None, Decimal('0E-9'), 'other', 0)
(207630, 14507, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0047', 'Folates', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207708, 14507, 'Compound', 666, '0388', 'Salt, table', None, None, '0047', 'Folates', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0E-9'), 'other', 0)
(241212, 14507, 'Compound', 666, '02047', 'Salt, table', None, None, '417', 'Folate, total', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 16), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(241216, 14507, 'Compound', 666, '02047', 'Salt, table', None, None, '431', 'Folic acid', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 16), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(241217, 14507, 'Compound', 666, '02047', 'Salt, table', None, None, '432', 'Folate, food', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 16), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(241218, 14507, 'Compound', 666, '02047', 'Salt, table', None, None, '435', 'Folate, DFE', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 16), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(1765771, 14507, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765877, 14507, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1765986, 14507, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
(207544, 16258, 'Compound', 666, '0387', 'Salt, block', None, None, '0061', 'Iron (Fe)', Decimal('0.300000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0.300000000'), 'other', 0)
(207640, 16258, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0061', 'Iron (Fe)', Decimal('3.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('3.000000000'), 'other', 0)
(207718, 16258, 'Compound', 666, '0388', 'Salt, table', None, None, '0061', 'Iron (Fe)', Decimal('0.200000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0.200000000'), 'other', 0)
(241186, 16258, 'Compound', 666, '02047', 'Salt, table', None, None, '303', 'Iron, Fe', Decimal('0.330000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0.330000000'), 'other', 0)
(1765781, 16258, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0.200000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0.200000000'), 'other', 1)
(1765887, 16258, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('3.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('3.000000000'), 'other', 1)
(1765996, 16258, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0.300000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0.300000000'), 'other', 1)
(1765772, 23049, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765878, 23049, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1765987, 23049, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
