source_id;orig_source_name;food_id;orig_food_common_name;orig_content;orig_min;orig_max;orig_unit;standard_content
2;Protein;206;Spices, ginger, ground;8980.0;None;None;mg/100g;8980.0
3;Carbohydrate, by difference;206;Spices, ginger, ground;71620.0;None;None;mg/100g;71620.0
