('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(188678, 574, 'Compound', 40, '0677', 'Pepper, hot chili, canned', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.153000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 10, 31), datetime.datetime(2019, 12, 11, 20, 32, 16), None, None, Decimal('0.153000000'), None, 0)
(188774, 574, 'Compound', 40, '0676', 'Pepper, hot chili, raw', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.278000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 10, 33), datetime.datetime(2019, 12, 11, 20, 32, 16), None, None, Decimal('0.278000000'), 'raw', 0)
(188870, 574, 'Compound', 40, '0524', 'Pepper, sweet, canned', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 10, 34), datetime.datetime(2019, 12, 11, 20, 32, 16), None, None, Decimal('0E-9'), None, 0)
(188966, 574, 'Compound', 40, '0206', 'Pepper, sweet, green, raw', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.190000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 10, 36), datetime.datetime(2019, 12, 11, 20, 32, 17), None, None, Decimal('0.190000000'), 'raw', 0)
(189062, 574, 'Compound', 40, '0207', 'Pepper, sweet, red, raw', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.305000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 10, 37), datetime.datetime(2019, 12, 11, 20, 32, 17), None, None, Decimal('0.305000000'), 'raw', 0)
(189158, 574, 'Compound', 40, '1054', 'Pepper, white', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 10, 39), datetime.datetime(2019, 12, 11, 20, 32, 17), None, None, Decimal('0E-9'), 'raw', 0)
(238804, 574, 'Compound', 40, '02009', 'Spices, chili powder', None, None, '415', 'Vitamin B-6', Decimal('2.094000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 23, 42), datetime.datetime(2019, 12, 11, 20, 37, 10), None, None, Decimal('2.094000000'), 'dried or powder', 0)
(240076, 574, 'Compound', 40, '02028', 'Spices, paprika', None, None, '415', 'Vitamin B-6', Decimal('2.141000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24), datetime.datetime(2019, 12, 11, 20, 37, 14), None, None, Decimal('2.141000000'), 'dried or powder', 0)
(240343, 574, 'Compound', 40, '02031', 'Spices, pepper, red or cayenne', None, None, '415', 'Vitamin B-6', Decimal('2.450000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 3), datetime.datetime(2019, 12, 11, 20, 37, 15), None, None, Decimal('2.450000000'), 'dried or powder', 0)
(402726, 574, 'Compound', 40, '11329', 'Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids', None, None, '415', 'Vitamin B-6', Decimal('0.153000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 58, 39), datetime.datetime(2019, 12, 11, 20, 51, 46), None, None, Decimal('0.153000000'), None, 0)
(402810, 574, 'Compound', 40, '11333', 'Peppers, sweet, green, raw', None, None, '415', 'Vitamin B-6', Decimal('0.224000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 58, 40), datetime.datetime(2019, 12, 11, 20, 51, 46), None, None, Decimal('0.224000000'), 'raw', 0)
