('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(165823, 574, 'Compound', 206, '0667', 'Ginger root, raw', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.160000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 4, 30), datetime.datetime(2019, 12, 11, 20, 30, 43), None, None, Decimal('0.160000000'), 'raw', 0)
(239552, 574, 'Compound', 206, '02021', 'Spices, ginger, ground', None, None, '415', 'Vitamin B-6', Decimal('0.626000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 23, 53), datetime.datetime(2019, 12, 11, 20, 37, 13), None, None, Decimal('0.626000000'), 'dried or powder', 0)
(396303, 574, 'Compound', 206, '11216', 'Ginger root, raw', None, None, '415', 'Vitamin B-6', Decimal('0.160000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 23), datetime.datetime(2019, 12, 11, 20, 51, 6), None, None, Decimal('0.160000000'), 'raw', 0)
(714724, 574, 'Compound', 206, '1078', 'Ginger', 'Zingiber officinale ROSCOE [Zingiberaceae]', 'Root', 'VIT-B-6', 'VIT-B-6', Decimal('0.515000000'), Decimal('0.160000000'), Decimal('0.870000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 56), datetime.datetime(2018, 6, 22, 6, 29, 30), None, None, Decimal('0.515000000'), 'raw', 1)
(1720765, 574, 'Compound', 206, '0667', 'Ginger root, raw', None, None, None, None, Decimal('0.160000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 25, 49), datetime.datetime(2019, 8, 3, 15, 25, 49), None, None, Decimal('0.160000000'), 'raw', 1)
(239555, 710, 'Compound', 206, '02021', 'Spices, ginger, ground', None, None, '421', 'Choline, total', Decimal('41.200000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 23, 53), datetime.datetime(2019, 12, 11, 20, 37, 13), None, None, Decimal('41.200000000'), 'dried or powder', 0)
(396306, 710, 'Compound', 206, '11216', 'Ginger root, raw', None, None, '421', 'Choline, total', Decimal('28.800000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 23), datetime.datetime(2019, 12, 11, 20, 51, 6), None, None, Decimal('28.800000000'), 'raw', 0)
(165820, 1014, 'Compound', 206, '0667', 'Ginger root, raw', None, None, '0038', 'Niacin, total', Decimal('0.950000000'), None, None, 'NE', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 4, 30), datetime.datetime(2019, 12, 11, 20, 30, 43), None, None, Decimal('0.950000000'), 'raw', 0)
(165821, 1014, 'Compound', 206, '0667', 'Ginger root, raw', None, None, '0039', 'Niacin', Decimal('0.750000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 4, 30), datetime.datetime(2019, 12, 11, 20, 30, 43), None, None, Decimal('0.750000000'), 'raw', 0)
(165822, 1014, 'Compound', 206, '0667', 'Ginger root, raw', None, None, '0040', 'Niacin, from tryptophan', Decimal('0.200000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 4, 30), datetime.datetime(2019, 12, 11, 20, 30, 43), None, None, Decimal('0.200000000'), 'raw', 0)
(239550, 1014, 'Compound', 206, '02021', 'Spices, ginger, ground', None, None, '406', 'Niacin', Decimal('9.620000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 23, 53), datetime.datetime(2019, 12, 11, 20, 37, 13), None, None, Decimal('9.620000000'), 'dried or powder', 0)
(396301, 1014, 'Compound', 206, '11216', 'Ginger root, raw', None, None, '406', 'Niacin', Decimal('0.750000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 22), datetime.datetime(2019, 12, 11, 20, 51, 6), None, None, Decimal('0.750000000'), 'raw', 0)
(714736, 1014, 'Compound', 206, '1078', 'Ginger', 'Zingiber officinale ROSCOE [Zingiberaceae]', 'Root', 'NIACIN', 'NIACIN', Decimal('7.000000000'), Decimal('0.500000000'), Decimal('13.500000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 56), datetime.datetime(2018, 6, 22, 6, 29, 33), None, None, Decimal('7.000000000'), 'raw', 1)
