('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(1378321, 574, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 21, 8, 11), datetime.datetime(2015, 5, 7, 21, 8, 11), None, None, None, None, 1)
(1093380, 710, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 56, 17), datetime.datetime(2015, 5, 7, 19, 56, 17), None, None, None, None, 1)
(1638463, 1014, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 7, 1, 37), datetime.datetime(2015, 5, 14, 7, 1, 37), None, None, None, None, 1)
(1078926, 2100, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 52, 26), datetime.datetime(2015, 5, 7, 19, 52, 26), None, None, None, None, 1)
(1599030, 3514, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 45, 46), datetime.datetime(2015, 5, 14, 6, 45, 46), None, None, None, None, 1)
(1633356, 3519, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 59, 30), datetime.datetime(2015, 5, 14, 6, 59, 30), None, None, None, None, 1)
(1626894, 3522, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 56, 20), datetime.datetime(2015, 5, 14, 6, 56, 20), None, None, None, None, 1)
(1648246, 12163, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 7, 5, 6), datetime.datetime(2015, 5, 14, 7, 5, 6), None, None, None, None, 1)
(1616694, 13393, 'Compound', 109, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 53, 16), datetime.datetime(2015, 5, 14, 6, 53, 16), None, None, None, None, 1)
