('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(397331, 574, 'Compound', 562, '11238', 'Mushrooms, shiitake, raw', None, None, '415', 'Vitamin B-6', Decimal('0.293000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 34), datetime.datetime(2019, 12, 11, 20, 51, 18), None, None, Decimal('0.293000000'), 'raw', 0)
(399216, 574, 'Compound', 562, '11267', 'Mushrooms, shiitake, stir-fried', None, None, '415', 'Vitamin B-6', Decimal('0.174000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 55), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('0.174000000'), 'other', 0)
(399300, 574, 'Compound', 562, '11268', 'Mushrooms, shiitake, dried', None, None, '415', 'Vitamin B-6', Decimal('0.965000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 56), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('0.965000000'), 'dried or powder', 0)
(399378, 574, 'Compound', 562, '11269', 'Mushrooms, shiitake, cooked, without salt', None, None, '415', 'Vitamin B-6', Decimal('0.159000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 56), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('0.159000000'), 'cooked', 0)
(424292, 574, 'Compound', 562, '11798', 'Mushrooms, shiitake, cooked, with salt', None, None, '415', 'Vitamin B-6', Decimal('0.159000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 2, 52), datetime.datetime(2019, 12, 11, 20, 56, 26), None, None, Decimal('0.159000000'), None, 0)
(399219, 710, 'Compound', 562, '11267', 'Mushrooms, shiitake, stir-fried', None, None, '421', 'Choline, total', Decimal('59.400000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 55), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('59.400000000'), 'other', 0)
(399303, 710, 'Compound', 562, '11268', 'Mushrooms, shiitake, dried', None, None, '421', 'Choline, total', Decimal('201.700000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 56), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('201.700000000'), 'dried or powder', 0)
(399381, 710, 'Compound', 562, '11269', 'Mushrooms, shiitake, cooked, without salt', None, None, '421', 'Choline, total', Decimal('36.800000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 56), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('36.800000000'), 'cooked', 0)
(424295, 710, 'Compound', 562, '11798', 'Mushrooms, shiitake, cooked, with salt', None, None, '421', 'Choline, total', Decimal('80.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 2, 52), datetime.datetime(2019, 12, 11, 20, 56, 26), None, None, Decimal('80.000000000'), None, 0)
(397329, 1014, 'Compound', 562, '11238', 'Mushrooms, shiitake, raw', None, None, '406', 'Niacin', Decimal('3.877000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 34), datetime.datetime(2019, 12, 11, 20, 51, 18), None, None, Decimal('3.877000000'), 'raw', 0)
(399214, 1014, 'Compound', 562, '11267', 'Mushrooms, shiitake, stir-fried', None, None, '406', 'Niacin', Decimal('3.870000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 55), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('3.870000000'), 'other', 0)
(399298, 1014, 'Compound', 562, '11268', 'Mushrooms, shiitake, dried', None, None, '406', 'Niacin', Decimal('14.100000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 55), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('14.100000000'), 'dried or powder', 0)
(399376, 1014, 'Compound', 562, '11269', 'Mushrooms, shiitake, cooked, without salt', None, None, '406', 'Niacin', Decimal('1.500000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 57, 56), datetime.datetime(2019, 12, 11, 20, 51, 31), None, None, Decimal('1.500000000'), 'cooked', 0)
