;zeros (%)
V_vit b12;99.02912621359224
OT_theobromine;97.0873786407767
OT_caffeine;95.63106796116504
V_vit h;93.68932038834951
M_chromium;89.32038834951457
M_iodine;87.37864077669903
OT_betaine;84.46601941747572
G_carbohydrate;82.52427184466019
OT_choline;59.22330097087378
V_vit k;57.28155339805825
