metrics;G_energy;G_protein;G_fiber, total dietary;G_carbohydrate;G_carbohydrate, by difference;G_fatty acids, total monounsaturated;G_fatty acids, total polyunsaturated;G_fatty acids, total saturated;G_sugars, total;G_total lipid (fat);G_ash;M_calcium;M_chromium;M_iodine;M_iron;M_magnesium;M_manganese;M_phosphorus;M_potassium;M_selenium;M_sodium;M_zinc;M_copper;V_vit b1;V_vit b12;V_vit b2;V_vit b5;V_vit b6;V_vit b9;V_vit c;V_vit h;V_vit k;AE_alanine;AE_arginine;AE_aspartic acid;AE_cystine;AE_glutamine;AE_glycine;AE_proline;AE_serine;AE_tyrosine;ANE_histidine;ANE_isoleucine;ANE_leucine;ANE_lysine;ANE_methionine;ANE_phenylalanine;ANE_threonine;ANE_tryptophan;ANE_valine;OT_betaine;OT_caffeine;OT_choline;OT_theobromine
mean;377.6207095;14421.990291262136;12962.621359223302;7603.883495145631;46779.36893203884;3315.150485436893;4039.6553398058254;3299.902912621359;7229.174757281553;11430.776699029126;5390.0485436893205;429.61199029126215;0.0022920825242718442;0.1749580097087379;10.68271844660194;192.226213592233;2.989305825242718;483.65291262135923;1099.2524271844661;0.021075728155339805;254.79606796116505;3.230475728155339;0.9103252427184465;0.496490291262136;1.3106796116504854e-06;0.34937864077669906;1.0840776699029127;0.5552864077669903;0.11490388349514563;15.475631067961165;1.5330097087378642;0.05633398058252428;564.2330097087379;1078.7135922330096;1173.0485436893205;182.09708737864077;2256.150485436893;568.7281553398059;646.3543689320388;554.4757281553398;369.3203883495146;285.63592233009706;474.8009708737864;851.0776699029126;519.0485436893204;211.4368932038835;551.3543689320388;422.2135922330097;153.90776699029126;601.0194174757281;1.683009708737864;5.538834951456311;17.75679611650485;46.66504854368932
std;119.63073119125576;11603.97856161592;12502.054891480453;19597.463361638176;29794.301093474085;6432.206425797677;8312.065845923706;6954.729270057631;15448.388338026776;17771.63021136231;8571.093990428175;1130.3290836533424;0.014569728799993211;2.5082249576331996;16.56978423659072;166.94511758390954;5.797843342406542;1025.6595024148678;1213.174555380778;0.13428741434664018;1263.9392520025463;2.753933982044011;1.0875513763221416;0.9181510516052449;1.474103555697403e-05;0.588316284878936;2.554382677327468;0.6343351968483945;0.33373785343306983;59.57693833035835;14.71166710288969;0.25366695394279143;663.6489184087048;1541.064219079317;1440.819302010717;226.82809713527962;2683.558676900063;721.4509593282172;717.556535143511;678.6158702889313;479.5727511857284;347.0813477022407;588.285573757963;985.4094722927625;711.1793829303447;270.1194918930224;681.9884382507144;528.697241971252;205.40403073410857;702.482510579376;7.963419578627709;39.82775042607723;34.16397085830348;312.845975415079
zeros;0.0;2.0;26.0;170.0;38.0;52.0;52.0;17.0;85.0;40.0;2.0;1.0;184.0;180.0;1.0;3.0;16.0;2.0;1.0;47.0;7.0;4.0;10.0;12.0;204.0;12.0;54.0;16.0;22.0;102.0;193.0;118.0;63.0;62.0;63.0;67.0;63.0;64.0;63.0;63.0;63.0;62.0;61.0;61.0;60.0;61.0;62.0;61.0;61.0;61.0;174.0;197.0;122.0;200.0
zeros (%);0.0;0.9708737864077669;12.62135922330097;82.52427184466019;18.446601941747574;25.24271844660194;25.24271844660194;8.25242718446602;41.262135922330096;19.41747572815534;0.9708737864077669;0.48543689320388345;89.32038834951457;87.37864077669903;0.48543689320388345;1.4563106796116505;7.766990291262135;0.9708737864077669;0.48543689320388345;22.815533980582526;3.3980582524271843;1.9417475728155338;4.854368932038835;5.825242718446602;99.02912621359224;5.825242718446602;26.21359223300971;7.766990291262135;10.679611650485436;49.51456310679612;93.68932038834951;57.28155339805825;30.582524271844658;30.097087378640776;30.582524271844658;32.5242718446602;30.582524271844658;31.06796116504854;30.582524271844658;30.582524271844658;30.582524271844658;30.097087378640776;29.61165048543689;29.61165048543689;29.126213592233007;29.61165048543689;30.097087378640776;29.61165048543689;29.61165048543689;29.61165048543689;84.46601941747572;95.63106796116504;59.22330097087378;97.0873786407767
