;orig_food_id;id_food_table;food_group;food_subgroup;nombre_primario;nombre_secundario;G_energy;G_protein;G_fiber, total dietary;G_carbohydrate;G_carbohydrate, by difference;G_fatty acids, total monounsaturated;G_fatty acids, total polyunsaturated;G_fatty acids, total saturated;G_sugars, total;G_total lipid (fat);G_ash;M_calcium;M_iron;M_magnesium;M_manganese;M_phosphorus;M_potassium;M_selenium;M_sodium;M_zinc;M_copper;V_vit b1;V_vit b2;V_vit b5;V_vit b6;V_vit b9;V_vit c;V_vit k;AE_alanine;AE_arginine;AE_aspartic acid;AE_cystine;AE_glutamine;AE_glycine;AE_proline;AE_serine;AE_tyrosine;ANE_histidine;ANE_isoleucine;ANE_leucine;ANE_lysine;ANE_methionine;ANE_phenylalanine;ANE_threonine;ANE_tryptophan;ANE_valine;OT_choline;Cluster
44;12147;138;nuts;nuts;pine nut;nuts, pine nuts, dried;673.040153;13690.0;3700.0;0.0;13080.0;18764.0;34071.0;4899.0;3590.0;68370.0;2590.0;16.0;5.53;251.0;8.802;575.0;597.0;0.0007;2.0;6.45;1.324;0.364;0.227;0.313;0.094;0.034;0.8;0.0539;684.0;2413.0;1303.0;289.0;2926.0;691.0;673.0;835.0;509.0;341.0;542.0;991.0;540.0;259.0;524.0;370.0;107.0;687.0;55.8;5
45;2009;40;vegetables;fruit vegetables;pepper;spices, chili powder;282.0;13460.0;34800.0;0.0;49700.0;3211.0;8006.0;2462.0;7190.0;14280.0;11810.0;330.0;17.3;149.0;1.7;300.0;1950.0;0.0204;1640.0;4.3;1.0;0.25;0.94;0.888;2.094;0.028;0.7;0.1057;450.0;490.0;1690.0;180.0;1590.0;600.0;1250.0;230.0;190.0;180.0;390.0;630.0;360.0;130.0;370.0;270.0;70.0;540.0;66.5;2
46;2005;43;herbs and spices;spices;caraway;spices, caraway seed;333.0;19770.0;38000.0;0.0;49900.0;7125.0;3272.0;620.0;640.0;14590.0;5870.0;689.0;16.23;258.0;1.3;568.0;1351.0;0.0121;17.0;5.5;0.91;0.383;0.379;0.0;0.36;0.01;21.0;0.0;914.0;1252.0;2084.0;329.0;3169.0;1322.0;917.0;946.0;642.0;550.0;826.0;1218.0;1031.0;361.0;867.0;756.0;244.0;1037.0;24.7;2
47;1057;682;baking goods;baking goods;leavening agent;yeast, dried;317.160612;0.0;19700.0;33000.0;0.0;0.0;0.0;0.0;0.0;0.0;8300.0;44.0;16.1;230.0;0.0;1290.0;2000.0;0.0;52.0;8.0;5.0;2.33;4.0;11.0;2.0;4.0;0.0;0.0;2200.0;1900.0;3500.0;130.0;4700.0;1800.0;1200.0;1900.0;1200.0;740.0;1800.0;2400.0;2700.0;500.0;1400.0;1800.0;440.0;2300.0;0.0;0
48;32;85;soy;soy;soy bean;beans, soy, dried;410.611855;35800.0;16600.0;17500.0;0.0;0.0;0.0;2560.0;6100.0;0.0;4700.0;163.0;15.7;225.0;2.0;467.0;1676.0;0.0088;4.0;1.0;0.11;0.874;0.87;1.92;0.417;0.28;0.0;0.047;1500.0;2600.0;4200.0;480.0;6700.0;1500.0;2000.0;1800.0;1100.0;910.0;1600.0;2800.0;2300.0;450.0;1800.0;1400.0;460.0;1700.0;0.0;0
49;12060;283;nuts;nuts;acorn;nuts, acorn flour, full fat;501.0;7490.0;0.0;0.0;54650.0;19110.0;5813.0;3923.0;0.0;30170.0;1690.0;43.0;1.21;110.0;1.743;103.0;712.0;0.0;0.0;0.64;0.611;0.146;0.154;0.931;0.688;0.114;0.0;0.0;427.0;577.0;774.0;133.0;1202.0;348.0;300.0;318.0;227.0;208.0;348.0;596.0;468.0;126.0;328.0;288.0;90.0;421.0;0.0;2
50;20020;205;cereals and cereal products;cereals;corn;cornmeal, whole-grain, yellow;362.09369;8120.0;7300.0;0.0;76890.0;948.0;1638.0;505.0;640.0;3590.0;1130.0;6.0;3.45;127.0;0.498;241.0;287.0;0.0155;35.0;1.82;0.193;0.385;0.201;0.425;0.304;0.025;0.0;0.0003;608.0;405.0;565.0;146.0;1525.0;333.0;709.0;386.0;330.0;248.0;291.0;996.0;228.0;170.0;399.0;305.0;57.0;411.0;21.6;1
51;2027;124;herbs and spices;herbs;common oregano;spices, oregano, dried;265.0;9000.0;42500.0;0.0;68920.0;716.0;1369.0;1551.0;4090.0;4280.0;7870.0;1597.0;36.8;270.0;4.99;148.0;1260.0;0.0045;25.0;2.69;0.633;0.177;0.528;0.921;1.044;0.237;2.3;0.6217;500.0;449.0;1009.0;110.0;975.0;517.0;1712.0;314.0;297.0;144.0;441.0;780.0;500.0;127.0;449.0;322.0;203.0;585.0;32.3;2
52;11962;40;vegetables;fruit vegetables;pepper;peppers, hot chile, sun-dried;324.091778;10580.0;28700.0;0.0;69860.0;468.0;3079.0;813.0;41060.0;5810.0;6600.0;45.0;6.04;88.0;0.821;159.0;1870.0;0.0035;91.0;1.02;0.228;0.081;1.205;0.956;0.81;0.051;31.4;0.1082;433.0;508.0;1512.0;203.0;1397.0;391.0;460.0;425.0;220.0;215.0;342.0;554.0;471.0;127.0;327.0;389.0;135.0;447.0;84.3;4
53;12201;170;herbs and spices;oilseed crops;sesame;seeds, sesame seed kernels, dried (decorticated);631.0;20450.0;11600.0;0.0;11730.0;23924.0;25491.0;9055.0;480.0;61210.0;2860.0;60.0;6.36;345.0;1.44;667.0;370.0;0.0344;47.0;6.73;1.4;0.699;0.09;0.29;0.4;0.115;0.0;0.0;990.0;3250.0;2070.0;440.0;4600.0;1090.0;1040.0;1200.0;790.0;550.0;750.0;1500.0;650.0;880.0;940.0;730.0;330.0;980.0;25.6;5
