;Cluster 0;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;Cluster 6;Cluster 7
G_energy;1.024571310716036;0.9937826539058013;0.9766703218366845;0.9818998824779233;0.9252140715498158;0.8949582894693402;0.9378286419813378;0.97378361143331
G_protein;0.9993111792824418;0.998009580121819;1.0006683805991865;0.9998318129936868;1.0001824189041564;1.0018878869622307;1.0013424989494883;0.9994011608373368
G_fiber, total dietary;1.0016054333412092;0.9927274443552082;0.9984279418072295;1.0000138554973;0.9999948798942183;1.0006417132034628;0.9996607881950756;0.9991605589296314
G_carbohydrate, by difference;0.9985031718685536;1.0009964230300967;0.997856108100749;1.0000739360448336;1.0001838813886503;1.0001331685387034;0.9999651339743632;0.9998466290924892
G_fatty acids, total monounsaturated;0.9999735318078381;0.9965477516071791;0.9997362515893355;1.000181363515488;0.995725862704334;0.9992262073016708;0.999535794244203;0.9986737455251284
G_fatty acids, total polyunsaturated;0.9999592851750462;0.9968356857054432;0.9996364210222899;1.0004308138608928;1.0025168597254024;1.0013394243138456;0.9985449156449926;0.9992222216972912
G_fatty acids, total saturated;0.9985760724847267;0.9984870740570414;1.0014383762032428;1.0002823266932968;1.0002983792717572;1.001190983885644;0.9988676565678511;0.9983947450233899
G_sugars, total;1.0005080685726793;0.999675674112343;0.999651225699861;0.9997746326929379;1.0003414335337024;0.9997398426049898;0.9937974736231107;0.9955030240494867
G_total lipid (fat);0.9998979188885304;0.9913745006281094;0.9993014560070712;0.999601531989258;0.9991941683413617;0.9999678383009111;1.0020113561818482;1.001470270848599
G_ash;0.9942226780844399;0.9993062403892925;1.005698588239141;1.0032411140167807;1.0000980850452397;0.99962219704913;0.9934053810831482;1.0000136412306384
M_calcium;0.9897446944816738;1.002231777762728;1.0102723478363695;0.9693299707012872;0.9959926455948315;1.0030640543846967;1.0051151344873928;1.0110402850504456
M_iron;0.9998936390730334;1.0000885261225612;1.000100776985713;0.7272288118492592;0.999326922134907;0.9948654201629448;1.0403374499269245;0.9844398386280057
M_magnesium;1.0004646439009939;1.003477137714794;0.9995749958630166;1.0252473955061723;0.9944101616887046;1.0054314236774116;0.9956969870784427;1.0362332447833245
M_manganese;1.0001880045968075;1.00001084626538;0.9998160993700059;1.0448021586737073;0.9992076331149452;1.0029321780392866;1.0027068872601246;0.9988188443848188
M_phosphorus;1.0046051569989825;0.998112278560162;0.9955250402596227;1.0045525950984613;0.9977258543871287;0.9800358194204466;1.0207014284209677;0.9821239467329045
M_potassium;1.0010742914567605;0.999546425859267;0.9989172202966768;0.9952178600270859;1.0011951113914939;0.9966792134796036;1.0144372320822679;0.9888291432132277
M_selenium;0.9999996344238558;1.0000000529262272;1.0000003603425307;0.9983300332248242;0.9999975825024848;1.0000176373533805;0.9999679890102638;1.0000424948499727
M_sodium;0.9999486210565133;1.0000148493488639;0.999875496403408;0.9917281017715093;1.0010142351595015;0.9988448078035012;1.006716526151243;0.9970143446312156
M_zinc;1.0000790569285993;1.0000185525312784;0.9999239371754993;0.9567155245114607;0.9995995447272024;1.001096100299329;1.0034693519626605;0.9994144172928918
M_copper;0.999983046656171;0.9999997036238787;1.0000158899198675;0.9535358196121034;0.9996556502659135;1.000368441985226;1.0009226871427759;1.0000798744102402
V_vit b1;0.9999953091991401;0.999999013312657;1.0000037804753186;0.9590108494120462;1.0000058827208522;1.0000983880566667;0.9991542117188864;0.9995153740209061
V_vit b2;1.0000051556200116;1.0000000464799692;0.9999941186887673;0.9625779922883984;0.9999817594408356;0.999425081279304;1.0019257006599762;0.9993859358212737
V_vit b5;1.0000159279536054;1.000012096204739;0.9999835415969535;0.8221843797318955;0.9987255527349329;0.9997703024666341;1.0050120619329472;0.9953539844679965
V_vit b6;0.999997178859191;0.9999994205672108;1.000002779938454;1.020645315429451;0.9999557073366198;0.9998391050006167;1.002698815520582;0.9994280731365109
V_vit b9;1.0000042768405177;1.0000019396450526;0.9999955979371908;0.9806137667359173;0.9999934542337197;1.0002056908931605;1.0000207504882968;0.9995216961605146
V_vit c;1.0000544691095503;0.9999556998354916;0.9999443034791171;0.9392259178495387;1.010328845970968;1.0093010527387576;0.9570323943604707;1.001517247898434
V_vit k;0.9999995475645661;1.0000001283448534;1.000000505971979;0.9995553784863378;1.00006590246064;1.0003868590455194;1.0000025922432716;0.9996914185709901
AE_alanine;1.006498757514637;0.9996377505327527;0.9935769171195812;0.9977200403300582;0.9985849686419502;1.011838054182039;0.9712513832484946;1.0382517032745395
AE_arginine;1.000867826117443;0.9990634303528303;0.998973821670085;1.002464767054429;1.0025221783789473;0.9819824253409002;1.0022164883639917;0.9930880839503923
AE_aspartic acid;1.003060829272329;0.9983927075837066;0.9971017543416432;0.9953810141492389;0.9981298436288508;1.0037240045989493;1.0264794638253645;0.9945231938100343
AE_cystine;0.9990084415341847;1.0000148946688612;1.0009176430456996;1.015940294083049;1.0049530684800987;0.9913029641720061;0.9891152305803635;1.0360346765942279
AE_glutamine;0.9990299748323631;0.998631235899215;1.0008135272716854;0.9990608167220048;1.0008143734281048;1.0013571563393695;1.0213534126685602;0.9984406391341502
AE_glycine;0.9955803233048519;0.9994508771033662;1.0042076667682212;0.9897876194540303;0.9954813283916459;1.0418342094124735;0.9314356529570461;1.05234827817011
AE_proline;1.0008353044472662;0.9998248983250699;0.9990174643797469;1.0063166122719844;0.992447845796341;1.0025208904151668;0.957544471464408;1.0139642064032663
AE_serine;1.0022929383558172;0.9994990495821091;0.997794744128075;1.0048184839987624;1.0024005360904906;1.022251691754215;0.9830412255768094;1.0042149014973079
