('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(240726, 574, 'Compound', 165, '02038', 'Spices, sage, ground', None, None, '415', 'Vitamin B-6', Decimal('2.690000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 9), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('2.690000000'), 'dried or powder', 0)
(240729, 710, 'Compound', 165, '02038', 'Spices, sage, ground', None, None, '421', 'Choline, total', Decimal('43.600000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 9), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('43.600000000'), 'dried or powder', 0)
(240725, 1014, 'Compound', 165, '02038', 'Spices, sage, ground', None, None, '406', 'Niacin', Decimal('5.720000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 9), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('5.720000000'), 'dried or powder', 0)
(709156, 1014, 'Compound', 165, '888', 'Sage', 'Salvia officinalis L. [Lamiaceae]', 'Leaf', 'NIACIN', 'NIACIN', Decimal('5.950000000'), Decimal('5.700000000'), Decimal('6.200000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 46), datetime.datetime(2018, 6, 24, 23, 21, 56), None, None, Decimal('5.950000000'), 'other', 1)
(240699, 2100, 'Compound', 165, '02038', 'Spices, sage, ground', None, None, '262', 'Caffeine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 8), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0E-9'), 'dried or powder', 0)
(240702, 3514, 'Compound', 165, '02038', 'Spices, sage, ground', None, None, '301', 'Calcium, Ca', Decimal('1652.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 8), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('1652.000000000'), 'dried or powder', 0)
(709198, 3514, 'Compound', 165, '888', 'Sage', 'Salvia officinalis L. [Lamiaceae]', 'Leaf', 'CALCIUM', 'CALCIUM', Decimal('1437.850000000'), Decimal('1080.000000000'), Decimal('1795.700000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 46), datetime.datetime(2018, 6, 24, 23, 22, 7), None, None, Decimal('1437.850000000'), 'other', 1)
(240704, 3519, 'Compound', 165, '02038', 'Spices, sage, ground', None, None, '304', 'Magnesium, Mg', Decimal('428.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 8), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('428.000000000'), 'dried or powder', 0)
(709200, 3519, 'Compound', 165, '888', 'Sage', 'Salvia officinalis L. [Lamiaceae]', 'Leaf', 'MAGNESIUM', 'MAGNESIUM', Decimal('283.000000000'), Decimal('283.000000000'), Decimal('283.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 46), datetime.datetime(2018, 6, 24, 23, 22, 7), None, None, Decimal('283.000000000'), 'other', 1)
(240705, 3521, 'Compound', 165, '02038', 'Spices, sage, ground', None, None, '305', 'Phosphorus, P', Decimal('91.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 8), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('91.000000000'), 'dried or powder', 0)
(709201, 3521, 'Compound', 165, '888', 'Sage', 'Salvia officinalis L. [Lamiaceae]', 'Leaf', 'PHOSPHORUS', 'PHOSPHORUS', Decimal('109.500000000'), Decimal('91.000000000'), Decimal('128.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 46), datetime.datetime(2018, 6, 24, 23, 22, 8), None, None, Decimal('109.500000000'), 'other', 1)
