('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(153473, 574, 'Compound', 709, '0039', 'Chocolate, bitter', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.050000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 9), datetime.datetime(2020, 3, 12, 21, 0, 10), None, None, Decimal('0.050000000'), 'other', 1)
(153569, 574, 'Compound', 709, '0451', 'Chocolate, fancy and filled', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.020000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 10), datetime.datetime(2020, 3, 12, 21, 0, 10), None, None, Decimal('0.020000000'), 'other', 1)
(153656, 574, 'Compound', 709, '0038', 'Chocolate, milk', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.035000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 11), datetime.datetime(2020, 3, 12, 21, 0, 10), None, None, Decimal('0.035000000'), None, 1)
(153753, 574, 'Compound', 709, '1101', 'Chocolate, milk, with nuts', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.035000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 13), datetime.datetime(2020, 3, 12, 21, 0, 10), None, None, Decimal('0.035000000'), None, 1)
(153849, 574, 'Compound', 709, '1167', 'Chocolate, plain, couverture', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.050000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 14), datetime.datetime(2020, 3, 12, 21, 0, 11), None, None, Decimal('0.050000000'), 'other', 1)
(569175, 574, 'Compound', 709, '19077', 'Baking chocolate, unsweetened, liquid', None, None, '415', 'Vitamin B-6', Decimal('0.072000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 31, 21), datetime.datetime(2018, 6, 24, 5, 47, 35), None, None, Decimal('0.072000000'), 'other', 1)
(569244, 574, 'Compound', 709, '19078', 'Baking chocolate, unsweetened, squares', None, None, '415', 'Vitamin B-6', Decimal('0.027000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 31, 22), datetime.datetime(2018, 6, 24, 5, 48, 8), None, None, Decimal('0.027000000'), 'other', 1)
(571672, 574, 'Compound', 709, '19124', 'Baking chocolate, mexican, squares', None, None, '415', 'Vitamin B-6', Decimal('0.034000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 31, 49), datetime.datetime(2018, 6, 24, 5, 47, 13), None, None, Decimal('0.034000000'), 'other', 1)
(585971, 574, 'Compound', 709, '19902', 'Chocolate, dark, 45- 59% cacao solids', None, None, '415', 'Vitamin B-6', Decimal('0.042000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 34, 38), datetime.datetime(2018, 6, 24, 6, 56, 19), None, None, Decimal('0.042000000'), 'other', 1)
(586035, 574, 'Compound', 709, '19903', 'Chocolate, dark, 60-69% cacao solids', None, None, '415', 'Vitamin B-6', Decimal('0.034000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 34, 38), datetime.datetime(2018, 6, 24, 6, 56, 47), None, None, Decimal('0.034000000'), 'other', 1)
