('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(155659, 574, 'Compound', 58, '0103', 'Coffee bean, roasted, ground', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.001000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 45), datetime.datetime(2019, 12, 11, 19, 32, 25), None, None, Decimal('0.001000000'), 'cooked', 0)
(155737, 574, 'Compound', 58, '0105', 'Coffee, beverage', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 46), datetime.datetime(2019, 12, 11, 19, 32, 25), None, None, Decimal('0E-9'), 'other (beverage)', 0)
(155833, 574, 'Compound', 58, '1065', 'Coffee, instant, decaffeinated, powder', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 47), datetime.datetime(2019, 12, 11, 19, 32, 25), None, None, Decimal('0E-9'), None, 0)
(155929, 574, 'Compound', 58, '1066', 'Coffee, instant, decaffeinated, prepared with water', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 49), datetime.datetime(2019, 12, 11, 19, 32, 26), None, None, Decimal('0E-9'), None, 0)
(156025, 574, 'Compound', 58, '0104', 'Coffee, instant, powder', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.030000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 50), datetime.datetime(2019, 12, 11, 19, 32, 26), None, None, Decimal('0.030000000'), None, 0)
(156112, 574, 'Compound', 58, '1067', 'Coffee, instant, prepared with water', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 51), datetime.datetime(2019, 12, 11, 19, 32, 26), None, None, Decimal('0E-9'), None, 0)
(474798, 574, 'Compound', 58, '14201', 'Coffee, brewed from grounds, prepared with tap water, decaffeinated', None, None, '415', 'Vitamin B-6', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 12, 48), datetime.datetime(2019, 12, 11, 19, 32, 26), None, None, Decimal('0E-9'), 'cooked', 0)
(474877, 574, 'Compound', 58, '14202', 'Coffee, brewed, espresso, restaurant-prepared, decaffeinated', None, None, '415', 'Vitamin B-6', Decimal('0.002000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 12, 49), datetime.datetime(2019, 12, 11, 19, 32, 27), None, None, Decimal('0.002000000'), None, 0)
(474938, 574, 'Compound', 58, '14203', 'Coffee, instant, regular, powder, half the caffeine', None, None, '415', 'Vitamin B-6', Decimal('0.029000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 12, 50), datetime.datetime(2019, 12, 11, 19, 32, 27), None, None, Decimal('0.029000000'), None, 0)
(475058, 574, 'Compound', 58, '14209', 'Coffee, brewed from grounds, prepared with tap water', None, None, '415', 'Vitamin B-6', Decimal('0.001000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 12, 52), datetime.datetime(2019, 12, 11, 19, 32, 27), None, None, Decimal('0.001000000'), 'cooked', 0)
(475140, 574, 'Compound', 58, '14210', 'Coffee, brewed, espresso, restaurant-prepared', None, None, '415', 'Vitamin B-6', Decimal('0.002000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 12, 53), datetime.datetime(2019, 12, 11, 19, 32, 27), None, None, Decimal('0.002000000'), None, 0)
