('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(590523, 574, 'Compound', 187, '20071', 'Wheat, hard red spring', None, None, '415', 'Vitamin B-6', Decimal('0.336000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 27), datetime.datetime(2018, 6, 25, 0, 23, 26), None, None, Decimal('0.336000000'), 'other', 1)
(590596, 574, 'Compound', 187, '20072', 'Wheat, hard red winter', None, None, '415', 'Vitamin B-6', Decimal('0.300000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 28), datetime.datetime(2018, 6, 25, 0, 23, 52), None, None, Decimal('0.300000000'), 'other', 1)
(590662, 574, 'Compound', 187, '20073', 'Wheat, soft red winter', None, None, '415', 'Vitamin B-6', Decimal('0.272000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 29), datetime.datetime(2018, 6, 25, 0, 25, 16), None, None, Decimal('0.272000000'), 'other', 1)
(590724, 574, 'Compound', 187, '20074', 'Wheat, hard white', None, None, '415', 'Vitamin B-6', Decimal('0.368000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 30), datetime.datetime(2018, 6, 25, 0, 24, 25), None, None, Decimal('0.368000000'), 'other', 1)
(590777, 574, 'Compound', 187, '20075', 'Wheat, soft white', None, None, '415', 'Vitamin B-6', Decimal('0.378000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 30), datetime.datetime(2018, 6, 25, 0, 25, 43), None, None, Decimal('0.378000000'), 'other', 1)
(712433, 574, 'Compound', 187, '1025', 'Wheat', 'Triticum aestivum L. [Poaceae]', 'Seed', 'PYRIDOXINE', 'PYRIDOXINE', Decimal('0.780000000'), Decimal('0.260000000'), Decimal('1.300000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 27), datetime.datetime(2018, 6, 25, 0, 19), None, None, Decimal('0.780000000'), 'other', 1)
(590526, 710, 'Compound', 187, '20071', 'Wheat, hard red spring', None, None, '421', 'Choline, total', Decimal('31.200000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 27), datetime.datetime(2018, 6, 25, 0, 23, 27), None, None, Decimal('31.200000000'), 'other', 1)
(590599, 710, 'Compound', 187, '20072', 'Wheat, hard red winter', None, None, '421', 'Choline, total', Decimal('31.200000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 28), datetime.datetime(2018, 6, 25, 0, 23, 53), None, None, Decimal('31.200000000'), 'other', 1)
(712435, 710, 'Compound', 187, '1025', 'Wheat', 'Triticum aestivum L. [Poaceae]', 'Root', 'CHOLINE', 'CHOLINE', Decimal('4.800000000'), Decimal('4.800000000'), Decimal('4.800000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 27), datetime.datetime(2018, 6, 25, 0, 19), None, None, Decimal('4.800000000'), 'other', 1)
(712436, 710, 'Compound', 187, '1025', 'Wheat', 'Triticum aestivum L. [Poaceae]', 'Seed', 'CHOLINE', 'CHOLINE', Decimal('116.500000000'), Decimal('53.000000000'), Decimal('180.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 27), datetime.datetime(2018, 6, 25, 0, 19), None, None, Decimal('116.500000000'), 'other', 1)
(712437, 710, 'Compound', 187, '1025', 'Wheat', 'Triticum aestivum L. [Poaceae]', 'Shoot', 'CHOLINE', 'CHOLINE', Decimal('12.100000000'), Decimal('12.100000000'), Decimal('12.100000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 27), datetime.datetime(2018, 6, 25, 0, 19, 1), None, None, Decimal('12.100000000'), 'other', 1)
(590521, 1014, 'Compound', 187, '20071', 'Wheat, hard red spring', None, None, '406', 'Niacin', Decimal('5.710000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 27), datetime.datetime(2018, 6, 25, 0, 23, 25), None, None, Decimal('5.710000000'), 'other', 1)
(590594, 1014, 'Compound', 187, '20072', 'Wheat, hard red winter', None, None, '406', 'Niacin', Decimal('5.464000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 28), datetime.datetime(2018, 6, 25, 0, 23, 52), None, None, Decimal('5.464000000'), 'other', 1)
(590660, 1014, 'Compound', 187, '20073', 'Wheat, soft red winter', None, None, '406', 'Niacin', Decimal('4.800000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 29), datetime.datetime(2018, 6, 25, 0, 25, 15), None, None, Decimal('4.800000000'), 'other', 1)
(590722, 1014, 'Compound', 187, '20074', 'Wheat, hard white', None, None, '406', 'Niacin', Decimal('4.381000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 29), datetime.datetime(2018, 6, 25, 0, 24, 25), None, None, Decimal('4.381000000'), 'other', 1)
(590775, 1014, 'Compound', 187, '20075', 'Wheat, soft white', None, None, '406', 'Niacin', Decimal('4.766000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 35, 30), datetime.datetime(2018, 6, 25, 0, 25, 42), None, None, Decimal('4.766000000'), 'other', 1)
(712444, 1014, 'Compound', 187, '1025', 'Wheat', 'Triticum aestivum L. [Poaceae]', 'Plant', 'NIACIN', 'NIACIN', Decimal('4.650000000'), Decimal('2.000000000'), Decimal('7.300000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 0, 27), datetime.datetime(2018, 6, 25, 0, 19, 3), None, None, Decimal('4.650000000'), 'other', 1)
