orig_food_id|id_food_table|food_group|food_subgroup|nombre_primario|nombre_secundario|G_energy|G_protein|G_fiber, total dietary|G_carbohydrate|G_carbohydrate, by difference|G_fatty acids, total monounsaturated|G_fatty acids, total polyunsaturated|G_fatty acids, total saturated|G_sugars, total|G_total lipid (fat)|G_ash|M_calcium|M_chromium|M_iodine|M_iron|M_magnesium|M_manganese|M_phosphorus|M_potassium|M_selenium|M_sodium|M_zinc|M_copper|V_vit b1|V_vit b12|V_vit b2|V_vit b5|V_vit b6|V_vit b9|V_vit c|V_vit h|V_vit k|AE_alanine|AE_arginine|AE_aspartic acid|AE_cystine|AE_glutamine|AE_glycine|AE_proline|AE_serine|AE_tyrosine|ANE_histidine|ANE_isoleucine|ANE_leucine|ANE_lysine|ANE_methionine|ANE_phenylalanine|ANE_threonine|ANE_tryptophan|ANE_valine|OT_betaine|OT_caffeine|OT_choline|OT_theobromine
651|44|"nuts"|"nuts"|"pecan nut"|"pecans, dried"|709.847036|9200.000000|9600.000000|4300.000000|0.000000|0.000000|0.000000|6390.000000|0.000000|0.000000|1500.000000|70.000000|0.000000|0.000000|2.530000|121.000000|4.500000|277.000000|410.000000|0.000000|0.000000|4.530000|1.200000|0.660000|0.000000|0.130000|0.863000|0.210000|0.022000|1.100000|0.000000|0.000000|400.000000|1200.000000|930.000000|150.000000|1900.000000|450.000000|360.000000|470.000000|210.000000|260.000000|330.000000|350.000000|290.000000|190.000000|430.000000|310.000000|93.000000|420.000000|0.000000|0.000000|0.000000|0.000000
12023|170|"herbs and spices"|"oilseed crops"|"sesame"|"seeds, sesame seeds, whole, dried"|573.000000|17730.000000|11800.000000|0.000000|23450.000000|18759.000000|21773.000000|6957.000000|300.000000|49670.000000|4450.000000|975.000000|0.000000|0.000000|14.550000|351.000000|2.460000|629.000000|468.000000|0.034400|11.000000|7.750000|4.082000|0.791000|0.000000|0.247000|0.050000|0.790000|0.097000|0.000000|0.000000|0.000000|927.000000|2630.000000|1646.000000|358.000000|3955.000000|1215.000000|810.000000|967.000000|743.000000|522.000000|763.000000|1358.000000|569.000000|586.000000|940.000000|736.000000|388.000000|990.000000|0.000000|0.000000|25.600000|0.000000
20080|575|"cereals and cereal products"|"cereals"|"wheat"|"wheat flour, whole-grain"|340.344168|13210.000000|10700.000000|0.000000|71970.000000|283.000000|1167.000000|430.000000|410.000000|2500.000000|1580.000000|34.000000|0.000000|0.000000|3.600000|137.000000|4.067000|357.000000|363.000000|0.061800|2.000000|2.600000|0.410000|0.502000|0.000000|0.165000|0.603000|0.407000|0.044000|0.000000|0.000000|0.001900|489.000000|648.000000|722.000000|275.000000|4328.000000|569.000000|2075.000000|620.000000|275.000000|357.000000|443.000000|898.000000|359.000000|228.000000|682.000000|367.000000|174.000000|564.000000|72.800000|0.000000|31.200000|0.000000
531|575|"cereals and cereal products"|"cereals"|"wheat"|"wheat flour"|352.772467|9700.000000|6000.000000|69700.000000|0.000000|0.000000|0.000000|184.000000|500.000000|0.000000|700.000000|17.400000|0.001800|0.001900|1.180000|25.000000|0.510000|117.000000|155.000000|0.002000|1.850000|0.758000|0.133000|0.189000|0.000000|0.031000|0.500000|0.084000|0.018000|0.000000|1.900000|0.000000|320.000000|370.000000|420.000000|170.000000|3300.000000|350.000000|1100.000000|510.000000|220.000000|220.000000|410.000000|730.000000|240.000000|150.000000|510.000000|270.000000|110.000000|470.000000|0.000000|0.000000|0.000000|0.000000
8160|205|"cereals and cereal products"|"cereals"|"corn"|"cereals, corn grits, yellow, regular and quick, unenriched, dry"|371.000000|8800.000000|1600.000000|0.000000|79600.000000|300.000000|516.000000|155.000000|640.000000|1200.000000|400.000000|2.000000|0.000000|0.000000|1.000000|27.000000|0.106000|73.000000|137.000000|0.017000|1.000000|0.410000|0.075000|0.130000|0.000000|0.040000|0.485000|0.147000|0.005000|0.000000|0.000000|0.000300|656.000000|437.000000|610.000000|158.000000|1647.000000|360.000000|765.000000|417.000000|357.000000|268.000000|314.000000|1076.000000|247.000000|184.000000|431.000000|330.000000|62.000000|444.000000|0.000000|0.000000|0.000000|0.000000
12099|368|"nuts"|"nuts"|"european chestnut"|"nuts, chestnuts, european, dried, unpeeled"|374.043977|6390.000000|11700.000000|0.000000|77310.000000|1535.000000|1758.000000|837.000000|0.000000|4450.000000|2400.000000|67.000000|0.000000|0.000000|2.380000|74.000000|1.300000|175.000000|986.000000|0.001800|37.000000|0.350000|0.650000|0.295000|0.000000|0.360000|0.897000|0.663000|0.109000|15.000000|0.000000|0.000000|427.000000|457.000000|1103.000000|202.000000|824.000000|329.000000|336.000000|319.000000|177.000000|177.000000|252.000000|378.000000|378.000000|151.000000|270.000000|228.000000|71.000000|357.000000|0.000000|0.000000|0.000000|0.000000
12154|93|"nuts"|"nuts"|"black walnut"|"walnuts"|618.000000|24060.000000|6800.000000|0.000000|9910.000000|15004.000000|35077.000000|3368.000000|1100.000000|59000.000000|2470.000000|61.000000|0.000000|0.000000|3.120000|201.000000|3.896000|513.000000|523.000000|0.017000|2.000000|3.370000|1.360000|0.057000|0.000000|0.130000|1.660000|0.583000|0.031000|1.700000|0.000000|0.002700|1048.000000|3618.000000|2433.000000|462.000000|5152.000000|1189.000000|926.000000|1225.000000|740.000000|672.000000|966.000000|1684.000000|713.000000|467.000000|1094.000000|721.000000|318.000000|1271.000000|0.500000|0.000000|32.100000|0.000000
12039|86|"herbs and spices"|"oilseed crops"|"sunflower"|"seeds, sunflower seed kernels, toasted, without salt"|619.024857|17210.000000|11500.000000|0.000000|20590.000000|10841.000000|37507.000000|5953.000000|0.000000|56800.000000|4400.000000|57.000000|0.000000|0.000000|6.810000|129.000000|2.114000|1158.000000|491.000000|0.000000|3.000000|5.300000|1.834000|0.325000|0.000000|0.285000|7.056000|0.805000|0.238000|1.400000|0.000000|0.000000|844.000000|1816.000000|1848.000000|341.000000|4216.000000|1104.000000|893.000000|812.000000|503.000000|477.000000|861.000000|1254.000000|708.000000|374.000000|883.000000|702.000000|263.000000|994.000000|0.000000|0.000000|0.000000|0.000000
19165|707|"cocoa and cocoa products"|"cocoa products"|"cocoa powder"|"cocoa, dry powder, unsweetened"|227.533461|19600.000000|33200.000000|0.000000|57900.000000|4570.000000|440.000000|8070.000000|1750.000000|13700.000000|5800.000000|128.000000|0.000000|0.000000|13.860000|499.000000|3.837000|734.000000|1524.000000|0.014300|21.000000|6.810000|3.788000|0.078000|0.000000|0.241000|0.254000|0.118000|0.032000|0.000000|0.000000|0.002500|904.000000|1111.000000|1953.000000|239.000000|2948.000000|879.000000|838.000000|846.000000|735.000000|339.000000|760.000000|1189.000000|983.000000|202.000000|941.000000|776.000000|293.000000|1177.000000|0.000000|230.000000|12.000000|2057.000000
8160|841|"cereals and cereal products"|"cereal products"|"corn grits"|"cereals, corn grits, yellow, regular and quick, unenriched, dry"|371.000000|8800.000000|1600.000000|0.000000|79600.000000|300.000000|516.000000|155.000000|640.000000|1200.000000|400.000000|2.000000|0.000000|0.000000|1.000000|27.000000|0.106000|73.000000|137.000000|0.017000|1.000000|0.410000|0.075000|0.130000|0.000000|0.040000|0.485000|0.147000|0.005000|0.000000|0.000000|0.000300|656.000000|437.000000|610.000000|158.000000|1647.000000|360.000000|765.000000|417.000000|357.000000|268.000000|314.000000|1076.000000|247.000000|184.000000|431.000000|330.000000|62.000000|444.000000|0.000000|0.000000|0.000000|0.000000
