id_aux|food_group|food_subgroup|id_food_table|nombre_primario|nombre_secundario|orig_food_id|G_energy|G_protein|G_fiber, total dietary|G_carbohydrate|G_carbohydrate, by difference|G_fatty acids, total monounsaturated|G_fatty acids, total polyunsaturated|G_fatty acids, total saturated|G_sugars, total|G_total lipid (fat)|G_ash|M_calcium|M_chromium|M_iodine|M_iron|M_magnesium|M_manganese|M_phosphorus|M_potassium|M_selenium|M_sodium|M_zinc|M_copper|V_vit b1|V_vit b12|V_vit b2|V_vit b5|V_vit b6|V_vit b9|V_vit c|V_vit h|V_vit k|AE_alanine|AE_arginine|AE_aspartic acid|AE_cystine|AE_glutamine|AE_glycine|AE_proline|AE_serine|AE_tyrosine|ANE_histidine|ANE_isoleucine|ANE_leucine|ANE_lysine|ANE_methionine|ANE_phenylalanine|ANE_threonine|ANE_tryptophan|ANE_valine|OT_betaine|OT_caffeine|OT_choline|OT_theobromine
192|"cereals and cereal products"|"cereals"|126|"millet"|"millet flour"|20647|"373,5660"|"10750,0000"|"3500,0000"|"0,0000"|"73050,0000"|"924,0000"|"2618,0000"|"536,0000"|"1660,0000"|"4250,0000"|"1210,0000"|"14,0000"|"0,0000"|"0,0000"|"3,9400"|"119,0000"|"1,0020"|"285,0000"|"224,0000"|"0,0327"|"4,0000"|"2,6300"|"0,5350"|"0,4130"|"0,0000"|"0,0730"|"1,2670"|"0,3720"|"0,0420"|"0,0000"|"0,0000"|"0,0008"|"1282,0000"|"370,0000"|"710,0000"|"178,0000"|"2599,0000"|"271,0000"|"911,0000"|"782,0000"|"326,0000"|"257,0000"|"473,0000"|"1537,0000"|"144,0000"|"319,0000"|"675,0000"|"354,0000"|"170,0000"|"584,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
193|"cereals and cereal products"|"cereals"|177|"sorghum"|"sorghum flour"|20648|"361,0000"|"7870,0000"|"6600,0000"|"0,0000"|"77470,0000"|"879,0000"|"1367,0000"|"475,0000"|"1870,0000"|"3290,0000"|"1310,0000"|"12,0000"|"0,0000"|"0,0000"|"2,9900"|"120,0000"|"1,2620"|"288,0000"|"311,0000"|"0,0122"|"4,0000"|"1,4400"|"0,2220"|"0,2770"|"0,0000"|"0,0530"|"0,9300"|"0,3450"|"0,0250"|"0,0000"|"0,0000"|"0,0064"|"708,0000"|"308,0000"|"519,0000"|"154,0000"|"1626,0000"|"293,0000"|"608,0000"|"384,0000"|"210,0000"|"156,0000"|"288,0000"|"1013,0000"|"162,0000"|"135,0000"|"412,0000"|"291,0000"|"99,0000"|"361,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
194|"cereals and cereal products"|"cereals"|575|"wheat"|"wheat flour, whole-grain, soft wheat"|20649|"332,4570"|"9610,0000"|"13100,0000"|"0,0000"|"74480,0000"|"283,0000"|"1167,0000"|"430,0000"|"1020,0000"|"1950,0000"|"1530,0000"|"33,0000"|"0,0000"|"0,0000"|"3,7100"|"117,0000"|"3,3990"|"323,0000"|"394,0000"|"0,0127"|"3,0000"|"2,9600"|"0,4750"|"0,2970"|"0,0000"|"0,1880"|"1,0110"|"0,1910"|"0,0280"|"0,0000"|"0,0000"|"0,0019"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"31,2000"|"0,0000"
195|"cereals and cereal products"|"cereals"|205|"corn"|"cornmeal, blue (navajo)"|35131|"398,1836"|"10400,0000"|"8700,0000"|"0,0000"|"76930,0000"|"1679,0000"|"2465,0000"|"886,0000"|"1810,0000"|"5440,0000"|"1540,0000"|"5,0000"|"0,0000"|"0,0000"|"2,9100"|"133,0000"|"0,7580"|"354,0000"|"393,0000"|"0,0118"|"7,0000"|"2,9100"|"0,2180"|"0,2850"|"0,0000"|"0,1070"|"0,3530"|"0,5930"|"0,0580"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
196|"cereals and cereal products"|"cereals"|205|"corn"|"corn, dried (navajo)"|35134|"386,2333"|"9880,0000"|"0,0000"|"0,0000"|"74930,0000"|"1483,0000"|"1900,0000"|"820,0000"|"5380,0000"|"5220,0000"|"1860,0000"|"15,0000"|"0,0000"|"0,0000"|"1,9200"|"124,0000"|"0,8480"|"337,0000"|"511,0000"|"0,0000"|"13,0000"|"3,0500"|"0,1950"|"0,2000"|"0,0000"|"0,0680"|"0,3800"|"0,3720"|"0,0770"|"0,0000"|"0,0000"|"0,0009"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
197|"cereals and cereal products"|"cereals"|205|"corn"|"cornmeal, white (navajo)"|35136|"398,0000"|"10990,0000"|"10400,0000"|"0,0000"|"77140,0000"|"1532,0000"|"2078,0000"|"853,0000"|"1460,0000"|"5040,0000"|"1400,0000"|"11,0000"|"0,0000"|"0,0000"|"3,7900"|"125,0000"|"0,6460"|"280,0000"|"443,0000"|"0,0000"|"4,0000"|"3,2400"|"0,2190"|"0,3100"|"0,0000"|"0,1370"|"2,4900"|"0,5830"|"0,0320"|"0,0000"|"0,0000"|"0,0004"|"836,0000"|"474,0000"|"724,0000"|"217,0000"|"2043,0000"|"399,0000"|"906,0000"|"510,0000"|"412,0000"|"292,0000"|"404,0000"|"1375,0000"|"319,0000"|"258,0000"|"543,0000"|"345,0000"|"70,0000"|"554,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
198|"cereals and cereal products"|"cereals"|205|"corn"|"cornmeal, yellow (navajo)"|35137|"384,0000"|"9850,0000"|"9400,0000"|"0,0000"|"72900,0000"|"2143,0000"|"2352,0000"|"1043,0000"|"1560,0000"|"5880,0000"|"1220,0000"|"6,0000"|"0,0000"|"0,0000"|"2,9900"|"107,0000"|"0,6410"|"225,0000"|"322,0000"|"0,0060"|"4,0000"|"3,1000"|"0,2420"|"0,3000"|"0,0000"|"0,0930"|"0,5950"|"0,5900"|"0,0340"|"0,0000"|"0,0000"|"0,0002"|"769,0000"|"421,0000"|"662,0000"|"184,0000"|"1875,0000"|"360,0000"|"854,0000"|"471,0000"|"294,0000"|"265,0000"|"370,0000"|"1275,0000"|"301,0000"|"230,0000"|"499,0000"|"307,0000"|"50,0000"|"494,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
199|"cereals and cereal products"|"cereals"|205|"corn"|"corn, dried, yellow (northern plains indians)"|35183|"419,0000"|"14480,0000"|"20500,0000"|"0,0000"|"66270,0000"|"3750,0000"|"4543,0000"|"1974,0000"|"21320,0000"|"10640,0000"|"2240,0000"|"25,0000"|"0,0000"|"0,0000"|"2,6100"|"149,0000"|"0,9000"|"344,0000"|"775,0000"|"0,0565"|"4,0000"|"3,0600"|"0,2930"|"0,2610"|"0,0000"|"0,1810"|"1,5900"|"1,1100"|"0,1110"|"0,0000"|"0,0000"|"0,0000"|"1156,0000"|"581,0000"|"1013,0000"|"200,0000"|"2358,0000"|"539,0000"|"1047,0000"|"732,0000"|"465,0000"|"313,0000"|"485,0000"|"1468,0000"|"498,0000"|"293,0000"|"642,0000"|"431,0000"|"94,0000"|"655,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
201|"herbs and spices"|"herbs"|863|"yellow pond-lily"|"wocas, dried seeds, oregon, yellow pond lily, nuphar lutea (or) - cy0617b"|35232|"361,3767"|"7900,0000"|"19200,0000"|"0,0000"|"80020,0000"|"100,0000"|"161,0000"|"147,0000"|"430,0000"|"1070,0000"|"1650,0000"|"27,0000"|"0,0000"|"0,0000"|"1,4700"|"86,0000"|"0,9370"|"229,0000"|"553,0000"|"0,0007"|"25,0000"|"6,3300"|"0,0730"|"0,0300"|"0,0000"|"0,0700"|"1,3000"|"0,9570"|"0,0050"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"
206|"herbs and spices"|"spices"|15|"wild celery"|"celery flakes, dried"|44055|"319,0000"|"11300,0000"|"27800,0000"|"0,0000"|"63700,0000"|"405,0000"|"1035,0000"|"555,0000"|"35900,0000"|"2100,0000"|"13900,0000"|"587,0000"|"0,0000"|"0,0000"|"7,8300"|"196,0000"|"0,0000"|"402,0000"|"4388,0000"|"0,0153"|"1435,0000"|"2,7700"|"0,5710"|"0,4400"|"0,0000"|"0,5000"|"0,0000"|"0,4600"|"0,1070"|"86,5000"|"0,0000"|"0,5842"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"0,0000"|"122,3000"|"0,0000"
