id_food_table|orig_food_id|nombre_primario|nombre_secundario|alanine|arginine|ash|aspartic acid|betaine|caffeine|calcium|carbohydrate|carbohydrate, by difference|choline|chromium|copper|cystine|energy|fatty acids, total monounsaturated|fatty acids, total polyunsaturated|fatty acids, total saturated|fiber, total dietary|glutamine|glycine|histidine|iodine|iron|isoleucine|leucine|lysine|magnesium|manganese|methionine|phenylalanine|phosphorus|potassium|proline|protein|selenium|serine|sodium|sugars, total|theobromine|threonine|total lipid (fat)|tryptophan|tyrosine|valine|vit b1|vit b12|vit b2|vit b5|vit b6|vit b9|vit c|vit h|vit k|zinc
135|44|"date"|"date, dried"|93.000000|67.000000|1600.000000|120.000000|0.000000|0.000000|50.900000|71200.000000|0.000000|0.000000|0.080000|0.260000|42.000000|329.110899|0.000000|0.000000|200.000000|6400.000000|210.000000|90.000000|29.000000|0.001800|1.000000|45.000000|86.000000|54.000000|54.000000|0.400000|26.000000|58.000000|56.000000|643.000000|120.000000|2000.000000|0.002000|67.000000|6.000000|63900.000000|0.000000|54.000000|0.000000|54.000000|29.000000|64.000000|0.030000|0.000000|0.090000|0.780000|0.130000|0.021000|3.000000|0.000000|0.000000|5.100000
270|8172|"breakfast cereal"|"cereals, farina, unenriched, dry"|311.000000|390.000000|400.000000|433.000000|0.000000|0.000000|14.000000|0.000000|78000.000000|0.000000|0.000000|0.079000|299.000000|369.024857|60.000000|220.000000|80.000000|1900.000000|3817.000000|335.000000|215.000000|0.000000|1.500000|409.000000|724.000000|203.000000|13.000000|0.693000|165.000000|514.000000|88.000000|94.000000|1165.000000|10600.000000|0.023500|499.000000|3.000000|0.000000|0.000000|280.000000|500.000000|136.000000|278.000000|451.000000|0.060000|0.000000|0.100000|0.416000|0.058000|0.024000|0.000000|0.000000|0.000000|0.530000
205|35183|"corn"|"corn, dried, yellow (northern plains indians)"|1156.000000|581.000000|2240.000000|1013.000000|0.000000|0.000000|25.000000|0.000000|66270.000000|0.000000|0.000000|0.293000|200.000000|419.000000|3750.000000|4543.000000|1974.000000|20500.000000|2358.000000|539.000000|313.000000|0.000000|2.610000|485.000000|1468.000000|498.000000|149.000000|0.900000|293.000000|642.000000|344.000000|775.000000|1047.000000|14480.000000|0.056500|732.000000|4.000000|21320.000000|0.000000|431.000000|10640.000000|94.000000|465.000000|655.000000|0.261000|0.000000|0.181000|1.590000|1.110000|0.111000|0.000000|0.000000|0.000000|3.060000
420|2024|"white mustard"|"spices, mustard seed, ground"|1173.000000|1933.000000|4330.000000|2435.000000|1.900000|0.000000|266.000000|0.000000|28090.000000|122.700000|0.000000|0.645000|680.000000|508.126195|22518.000000|10088.000000|1989.000000|12200.000000|5265.000000|1587.000000|878.000000|0.000000|9.210000|1183.000000|2080.000000|1844.000000|370.000000|2.448000|483.000000|1173.000000|828.000000|738.000000|2810.000000|26080.000000|0.208100|759.000000|13.000000|6790.000000|0.000000|838.000000|36240.000000|256.000000|809.000000|1509.000000|0.805000|0.000000|0.261000|0.810000|0.397000|0.162000|7.100000|0.000000|0.005400|6.080000
372|12128|"ginkgo nuts"|"nuts, ginkgo nuts, dried"|591.000000|1005.000000|2800.000000|1298.000000|0.000000|0.000000|20.000000|0.000000|72450.000000|0.000000|0.000000|0.536000|55.000000|348.000000|739.000000|737.000000|381.000000|0.000000|2001.000000|554.000000|244.000000|0.000000|1.600000|500.000000|755.000000|494.000000|53.000000|0.220000|133.000000|408.000000|269.000000|998.000000|830.000000|10350.000000|0.000000|695.000000|13.000000|0.000000|0.000000|640.000000|2000.000000|170.000000|146.000000|677.000000|0.430000|0.000000|0.176000|1.345000|0.641000|0.106000|29.300000|0.000000|0.000000|0.670000
42|12021|"safflower"|"seeds, safflower seed kernels, dried"|772.000000|1749.000000|5470.000000|1807.000000|0.000000|0.000000|78.000000|0.000000|34290.000000|0.000000|0.000000|1.747000|311.000000|517.000000|4848.000000|28223.000000|3682.000000|0.000000|3699.000000|1010.000000|452.000000|0.000000|4.900000|717.000000|1154.000000|534.000000|353.000000|2.014000|284.000000|806.000000|644.000000|687.000000|726.000000|16180.000000|0.000000|812.000000|3.000000|0.000000|0.000000|586.000000|38450.000000|183.000000|531.000000|1025.000000|1.163000|0.000000|0.415000|4.030000|1.170000|0.160000|0.000000|0.000000|0.000000|5.050000
205|35137|"corn"|"cornmeal, yellow (navajo)"|769.000000|421.000000|1220.000000|662.000000|0.000000|0.000000|6.000000|0.000000|72900.000000|0.000000|0.000000|0.242000|184.000000|384.000000|2143.000000|2352.000000|1043.000000|9400.000000|1875.000000|360.000000|265.000000|0.000000|2.990000|370.000000|1275.000000|301.000000|107.000000|0.641000|230.000000|499.000000|225.000000|322.000000|854.000000|9850.000000|0.006000|471.000000|4.000000|1560.000000|0.000000|307.000000|5880.000000|50.000000|294.000000|494.000000|0.300000|0.000000|0.093000|0.595000|0.590000|0.034000|0.000000|0.000000|0.000200|3.100000
81|52|"fig"|"fig, dried"|200.000000|74.000000|1900.000000|790.000000|0.000000|0.000000|193.000000|62900.000000|0.000000|0.000000|0.000069|0.240000|52.000000|260.994264|0.000000|0.000000|159.000000|9300.000000|310.000000|110.000000|47.000000|0.001100|2.200000|100.000000|140.000000|130.000000|92.000000|0.510000|26.000000|79.000000|83.100000|1010.000000|210.000000|3300.000000|0.000000|160.000000|87.000000|52900.000000|0.000000|100.000000|0.000000|26.000000|140.000000|130.000000|0.085000|0.000000|0.110000|0.435000|0.120000|0.009000|1.200000|1.000000|0.000000|0.900000
101|12220|"flaxseed"|"seeds, flaxseed"|925.000000|1925.000000|3720.000000|2046.000000|3.100000|0.000000|255.000000|0.000000|28880.000000|78.700000|0.000000|1.220000|340.000000|534.000000|7527.000000|28730.000000|3663.000000|27300.000000|4039.000000|1248.000000|472.000000|0.000000|5.730000|896.000000|1235.000000|862.000000|392.000000|2.482000|370.000000|957.000000|642.000000|813.000000|806.000000|18290.000000|0.025400|970.000000|30.000000|1550.000000|0.000000|766.000000|42160.000000|297.000000|493.000000|1072.000000|1.644000|0.000000|0.161000|0.985000|0.473000|0.087000|0.600000|0.000000|0.004300|4.340000
186|2019|"fenugreek"|"spices, fenugreek seed"|1020.000000|2465.000000|3400.000000|2708.000000|0.000000|0.000000|176.000000|0.000000|58350.000000|0.000000|0.000000|1.110000|369.000000|323.135755|0.000000|0.000000|1460.000000|24600.000000|3988.000000|1306.000000|668.000000|0.000000|33.530000|1241.000000|1757.000000|1684.000000|191.000000|1.228000|338.000000|1089.000000|296.000000|770.000000|1198.000000|23000.000000|0.006300|1215.000000|67.000000|0.000000|0.000000|898.000000|6410.000000|391.000000|764.000000|1102.000000|0.322000|0.000000|0.366000|0.000000|0.600000|0.057000|3.000000|0.000000|0.000000|2.500000
