('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(240627, 574, 'Compound', 159, '02036', 'Spices, rosemary, dried', None, None, '415', 'Vitamin B-6', Decimal('1.740000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 7), datetime.datetime(2019, 12, 11, 20, 37, 15), None, None, Decimal('1.740000000'), 'dried or powder', 0)
(241705, 574, 'Compound', 159, '02063', 'Rosemary, fresh', None, None, '415', 'Vitamin B-6', Decimal('0.336000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 23), datetime.datetime(2019, 12, 11, 20, 37, 21), None, None, Decimal('0.336000000'), 'raw', 0)
(708445, 574, 'Compound', 159, '873', 'Rosemary', 'Rosmarinus officinalis L. [Lamiaceae]', 'Leaf', 'VIT-B-6', 'VIT-B-6', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 38), datetime.datetime(2018, 6, 24, 23, 15, 7), None, None, None, 'other', 1)
(1093393, 710, 'Compound', 159, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 56, 17), datetime.datetime(2015, 5, 7, 19, 56, 17), None, None, None, None, 1)
(240626, 1014, 'Compound', 159, '02036', 'Spices, rosemary, dried', None, None, '406', 'Niacin', Decimal('1.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 7), datetime.datetime(2019, 12, 11, 20, 37, 15), None, None, Decimal('1.000000000'), 'dried or powder', 0)
(241703, 1014, 'Compound', 159, '02063', 'Rosemary, fresh', None, None, '406', 'Niacin', Decimal('0.912000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 23), datetime.datetime(2019, 12, 11, 20, 37, 21), None, None, Decimal('0.912000000'), 'raw', 0)
(708452, 1014, 'Compound', 159, '873', 'Rosemary', 'Rosmarinus officinalis L. [Lamiaceae]', 'Leaf', 'NIACIN', 'NIACIN', Decimal('1.050000000'), Decimal('1.000000000'), Decimal('1.100000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 38), datetime.datetime(2018, 6, 24, 23, 15, 9), None, None, Decimal('1.050000000'), 'other', 1)
(1078940, 2100, 'Compound', 159, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 52, 26), datetime.datetime(2015, 5, 7, 19, 52, 26), None, None, None, None, 1)
(240608, 3514, 'Compound', 159, '02036', 'Spices, rosemary, dried', None, None, '301', 'Calcium, Ca', Decimal('1280.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 7), datetime.datetime(2019, 12, 11, 20, 37, 15), None, None, Decimal('1280.000000000'), 'dried or powder', 0)
(241686, 3514, 'Compound', 159, '02063', 'Rosemary, fresh', None, None, '301', 'Calcium, Ca', Decimal('317.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 22), datetime.datetime(2019, 12, 11, 20, 37, 21), None, None, Decimal('317.000000000'), 'raw', 0)
(708514, 3514, 'Compound', 159, '873', 'Rosemary', 'Rosmarinus officinalis L. [Lamiaceae]', 'Plant', 'CALCIUM', 'CALCIUM', Decimal('1353.450000000'), Decimal('1091.900000000'), Decimal('1615.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 39), datetime.datetime(2018, 6, 24, 23, 15, 25), None, None, Decimal('1353.450000000'), 'other', 1)
(240610, 3519, 'Compound', 159, '02036', 'Spices, rosemary, dried', None, None, '304', 'Magnesium, Mg', Decimal('220.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 7), datetime.datetime(2019, 12, 11, 20, 37, 15), None, None, Decimal('220.000000000'), 'dried or powder', 0)
(241688, 3519, 'Compound', 159, '02063', 'Rosemary, fresh', None, None, '304', 'Magnesium, Mg', Decimal('91.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 22), datetime.datetime(2019, 12, 11, 20, 37, 21), None, None, Decimal('91.000000000'), 'raw', 0)
(708515, 3519, 'Compound', 159, '873', 'Rosemary', 'Rosmarinus officinalis L. [Lamiaceae]', 'Leaf', 'MAGNESIUM', 'MAGNESIUM', Decimal('231.250000000'), Decimal('214.200000000'), Decimal('248.300000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 39), datetime.datetime(2018, 6, 24, 23, 15, 25), None, None, Decimal('231.250000000'), 'other', 1)
(240611, 3521, 'Compound', 159, '02036', 'Spices, rosemary, dried', None, None, '305', 'Phosphorus, P', Decimal('70.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 7), datetime.datetime(2019, 12, 11, 20, 37, 15), None, None, Decimal('70.000000000'), 'dried or powder', 0)
(241689, 3521, 'Compound', 159, '02063', 'Rosemary, fresh', None, None, '305', 'Phosphorus, P', Decimal('66.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 22), datetime.datetime(2019, 12, 11, 20, 37, 21), None, None, Decimal('66.000000000'), 'raw', 0)
(708516, 3521, 'Compound', 159, '873', 'Rosemary', 'Rosmarinus officinalis L. [Lamiaceae]', 'Plant', 'PHOSPHORUS', 'PHOSPHORUS', Decimal('74.500000000'), Decimal('49.000000000'), Decimal('100.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 39), datetime.datetime(2018, 6, 24, 23, 15, 25), None, None, Decimal('74.500000000'), 'other', 1)
(240612, 3522, 'Compound', 159, '02036', 'Spices, rosemary, dried', None, None, '306', 'Potassium, K', Decimal('955.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 7), datetime.datetime(2019, 12, 11, 20, 37, 15), None, None, Decimal('955.000000000'), 'dried or powder', 0)
