('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(1378333, 574, 'Compound', 168, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 21, 8, 11), datetime.datetime(2015, 5, 7, 21, 8, 11), None, None, None, None, 1)
(709782, 710, 'Compound', 168, '904', 'Savory', 'Satureja montana L. [Lamiaceae]', 'Shoot', 'CHOLINE', 'CHOLINE', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 53), datetime.datetime(2014, 11, 5, 16, 59, 53), None, None, None, None, 1)
(1638472, 1014, 'Compound', 168, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 7, 1, 37), datetime.datetime(2015, 5, 14, 7, 1, 37), None, None, None, None, 1)
(1078946, 2100, 'Compound', 168, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 7, 19, 52, 26), datetime.datetime(2015, 5, 7, 19, 52, 26), None, None, None, None, 1)
(1599037, 3514, 'Compound', 168, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 45, 46), datetime.datetime(2015, 5, 14, 6, 45, 46), None, None, None, None, 1)
(1633363, 3519, 'Compound', 168, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 59, 31), datetime.datetime(2015, 5, 14, 6, 59, 31), None, None, None, None, 1)
(1626901, 3522, 'Compound', 168, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 56, 20), datetime.datetime(2015, 5, 14, 6, 56, 20), None, None, None, None, 1)
(709803, 3583, 'Compound', 168, '904', 'Savory', 'Satureja montana L. [Lamiaceae]', 'Leaf', 'COPPER', 'COPPER', Decimal('0.850000000'), Decimal('0.800000000'), Decimal('0.900000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 59, 54), datetime.datetime(2018, 6, 5, 23, 26, 1), None, None, Decimal('0.850000000'), None, 1)
(1648256, 12163, 'Compound', 168, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 7, 5, 6), datetime.datetime(2015, 5, 14, 7, 5, 6), None, None, None, None, 1)
(1616702, 13393, 'Compound', 168, None, None, None, None, None, None, None, None, None, None, None, 'MANUAL', 'UNKNOWN', None, None, datetime.datetime(2015, 5, 14, 6, 53, 17), datetime.datetime(2015, 5, 14, 6, 53, 17), None, None, None, None, 1)
